group,year,Monitoring well and salinity structure,,r,Distance from monitoring well to canal (m)
hw,2007,G-3549 & S20G_H,,0.365339537,371
hw,2008,G-3549 & S20G_H,,0.718065443,371
hw,2009,G-3549 & S20G_H,,0.287444223,371
hw,2010,G-3549 & S20G_H,,0.586005993,371
hw,2011,G-3549 & S20G_H,,0.624586868,371
hw,2012,G-3549 & S20G_H,,0.368459483,371
hw,2013,G-3549 & S20G_H,,0.274280347,371
hw,2014,G-3549 & S20G_H,,0.32995616,371
hw,2015,G-3549 & S20G_H,,0.538921397,371
hw,2016,G-3549 & S20G_H,,0.257014028,371
hw,2017,G-3549 & S20G_H,,0.456540495,371
hw,2018,G-3549 & S20G_H,,0.30383536,371
hw,2019,G-3549 & S20G_H,,0.312917772,371
hw,2020,G-3549 & S20G_H,,0.51840891,371
hw,2007,G-860 & S123_H,,0.908736276,519
hw,2008,G-860 & S123_H,,0.362999312,519
hw,2009,G-860 & S123_H,,0.783458301,519
hw,2011,G-860 & S123_H,,0.401968619,519
hw,2012,G-860 & S123_H,,0.884116729,519
hw,2013,G-860 & S123_H,,0.688991035,519
hw,2014,G-860 & S123_H,,0.489833588,519
hw,2016,G-860 & S123_H,,0.326578996,519
hw,2017,G-860 & S123_H,,0.19745661,519
hw,2018,G-860 & S123_H,,0.294350287,519
hw,2019,G-860 & S123_H,,0.259105873,519
hw,2008,G-852 & G58_H,,0.185275468,1212
hw,2009,G-852 & G58_H,,0.168788463,1212
hw,2010,G-852 & G58_H,,0.16482305,1212
hw,2011,G-852 & G58_H,,0.200232667,1212
hw,2012,G-852 & G58_H,,0.108809996,1212
hw,2013,G-852 & G58_H,,0.210289708,1212
hw,2014,G-852 & G58_H,,0.259659073,1212
hw,2015,G-852 & G58_H,,0.318272158,1212
hw,2017,G-852 & G58_H,,0.175434582,1212
hw,2007,G-580A & S22_H,,0.274509774,1906
hw,2008,G-580A & S22_H,,0.31277202,1906
hw,2009,G-580A & S22_H,,0.382738656,1906
hw,2010,G-580A & S22_H,,0.358480343,1906
hw,2011,G-580A & S22_H,,0.250518182,1906
hw,2012,G-580A & S22_H,,0.272303445,1906
hw,2013,G-580A & S22_H,,0.298970061,1906
hw,2014,G-580A & S22_H,,0.406036006,1906
hw,2015,G-580A & S22_H,,0.241451369,1906
hw,2016,G-580A & S22_H,,0.324146574,1906
hw,2017,G-580A & S22_H,,0.296443417,1906
hw,2018,G-580A & S22_H,,0.303232181,1906
hw,2019,G-580A & S22_H,,0.32334468,1906
hw,2020,G-580A & S22_H,,0.252837532,1906
hw,2007,F-45 & S27_H,,0.259599573,2764
hw,2008,F-45 & S27_H,,0.254728182,2764
hw,2009,F-45 & S27_H,,0.265875237,2764
hw,2010,F-45 & S27_H,,0.231364155,2764
hw,2011,F-45 & S27_H,,0.340903746,2764
hw,2012,F-45 & S27_H,,0.310805375,2764
hw,2013,F-45 & S27_H,,0.329272656,2764
hw,2014,F-45 & S27_H,,0.496953839,2764
hw,2015,F-45 & S27_H,,0.188790693,2764
hw,2017,F-45 & S27_H,,0.148778709,2764
hw,2018,F-45 & S27_H,,0.196265395,2764
hw,2020,F-45 & S27_H,,0.368804675,2764
