group,year,Monitoring well,r,Distance from monitoring well to Bay (m)
tide,2018,NI,0.969670459,12
tide,2019,NI,0.969889085,12
tide,2020,NI,0.977472648,12
tide,2018,PVP,0.96801599,41
tide,2019,PVP,0.962546189,41
tide,2020,PVP,0.965445732,41
tide,2018,MBM,0.990911236,59
tide,2019,MBM,0.9945362,59
tide,2018,IBP,0.97304463,74
tide,2019,IBP,0.95760563,74
tide,2020,IBP,0.953483602,74
tide,2018,SWP ,0.967360522,89
tide,2019,SWP ,0.960258143,89
tide,2020,SWP ,0.969614321,89
tide,2018,FP,0.979302904,121
tide,2019,FP,0.968672787,121
tide,2020,FP,0.961158275,121
tide,2018,NSP,0.970913055,128
tide,2019,NSP,0.976089518,128
tide,2020,NSP,0.973348909,128
tide,2018,AFP,0.986052982,139
tide,2019,AFP,0.984849463,139
tide,2018,CP,0.989484975,148
tide,2019,CP,0.9897549,148
tide,2020,CP,0.986078373,148
tide,2018,LG,0.974549389,298
tide,2019,LG,0.965653907,298
tide,2020,LG,0.955985894,298
tide,2018,FLP,0.992564761,598
tide,2019,FLP,0.990375848,598
tide,2020,FLP,0.981972147,598
tide,2018,MBHS,0.971093881,633
tide,2019,MBHS,0.973224549,633
tide,2020,MBHS,0.98176675,633
tide,2007,G-3549,0.862166291,877
tide,2008,G-3549,0.852863204,877
tide,2009,G-3549,0.518054012,877
tide,2010,G-3549,0.898479385,877
tide,2011,G-3549,0.642868211,877
tide,2012,G-3549,0.424630531,877
tide,2013,G-3549,0.359460934,877
tide,2014,G-3549,0.462638252,877
tide,2015,G-3549,0.526632514,877
tide,2016,G-3549,0.35765231,877
tide,2017,G-3549,0.668328717,877
tide,2018,G-3549,0.884540257,877
tide,2019,G-3549,0.387153982,877
tide,2020,G-3549,0.762679764,877
tide,2007,G-580A,0.250903315,1909
tide,2008,G-580A,0.216730228,1909
tide,2009,G-580A,0.201556843,1909
tide,2010,G-580A,0.257397765,1909
tide,2011,G-580A,0.255131953,1909
tide,2012,G-580A,0.151504168,1909
tide,2013,G-580A,0.294064492,1909
tide,2014,G-580A,0.293175478,1909
tide,2015,G-580A,0.321336317,1909
tide,2016,G-580A,0.327948341,1909
tide,2017,G-580A,0.343656882,1909
tide,2018,G-580A,0.429366257,1909
tide,2019,G-580A,0.313905061,1909
tide,2020,G-580A,0.215837404,1909
tide,2007,G-860,0.21643835,1920
tide,2008,G-860,0.294699739,1920
tide,2009,G-860,0.185500032,1920
tide,2010,G-860,0.268079294,1920
tide,2011,G-860,0.211406931,1920
tide,2012,G-860,0.249668852,1920
tide,2013,G-860,0.46084617,1920
tide,2014,G-860,0.443525311,1920
tide,2016,G-860,0.265204994,1920
tide,2017,G-860,0.184466094,1920
tide,2018,G-860,0.2440755,1920
tide,2019,G-860,0.351197927,1920
tide,2020,G-860,0.330687014,1920
tide,2007,F-179,0.229483296,2225
tide,2008,F-179,0.131553969,2225
tide,2009,F-179,0.270945727,2225
tide,2010,F-179,0.330339131,2225
tide,2011,F-179,0.231788523,2225
tide,2012,F-179,0.155054409,2225
tide,2013,F-179,0.199860295,2225
tide,2014,F-179,0.328785428,2225
tide,2015,F-179,0.138950503,2225
tide,2016,F-179,0.265616379,2225
tide,2017,F-179,0.372052848,2225
tide,2018,F-179,0.273095069,2225
tide,2019,F-179,0.289735804,2225
tide,2020,F-179,0.389927567,2225
tide,2008,F-319,0.17318026,2840
tide,2009,F-319,0.235592776,2840
tide,2010,F-319,0.379601236,2840
tide,2011,F-319,0.198975843,2840
tide,2012,F-319,0.196786143,2840
tide,2013,F-319,0.200757586,2840
tide,2014,F-319,0.312199942,2840
tide,2015,F-319,0.521449851,2840
tide,2016,F-319,0.218167598,2840
tide,2017,F-319,0.276360014,2840
tide,2018,F-319,0.236240742,2840
tide,2019,F-319,0.116343578,2840
tide,2020,F-319,0.364884013,2840
tide,2007,F-45,0.259166931,2896
tide,2008,F-45,0.31021931,2896
tide,2009,F-45,0.320288187,2896
tide,2010,F-45,0.227943277,2896
tide,2011,F-45,0.254291441,2896
tide,2012,F-45,0.264007715,2896
tide,2013,F-45,0.293827484,2896
tide,2014,F-45,0.502589751,2896
tide,2015,F-45,0.195827988,2896
tide,2017,F-45,0.108987954,2896
tide,2018,F-45,0.172541585,2896
tide,2020,F-45,0.45761143,2896
