date,year,month,day,hour,index,tide,SWP,PVP,NI,NSP,LG,FP,IBP,MBHS,AFP,CP,FLP,MBM,MiamiBeach,s27t
11/22/2018 0:00,2018,11,22,0,1,-1.312,-0.73,-0.24,-0.45,-0.1,0.01,0.14,-0.26,-0.44,-0.64,0.36,-2.02,-0.7,-2.158792651,-1.244074075
11/22/2018 1:00,2018,11,22,1,2,-1.594,-1.05,-0.46,-0.93,-0.37,-0.24,-0.16,-0.52,-0.64,-0.88,0.27,-2.25,-1.16,-2.293307087,-1.555714285
11/22/2018 2:00,2018,11,22,2,3,-1.631,-1.32,-0.62,-1.34,-0.49,-0.47,-0.42,-0.64,-0.71,-0.96,0.21,-2.25,-1.36,-2.040682415,-1.721428573
11/22/2018 3:00,2018,11,22,3,4,-1.365,-1.49,-0.73,-1.63,-0.45,-0.6,-0.59,-0.64,-0.61,-0.8,0.27,-2.06,-1.31,-1.459973753,-1.428421053
11/22/2018 4:00,2018,11,22,4,5,-0.86,-1.44,-0.7,-1.52,-0.23,-0.55,-0.56,-0.46,-0.42,-0.49,0.39,-1.74,-0.97,-0.685695538,-0.83264706
11/22/2018 5:00,2018,11,22,5,6,-0.308,-1.18,-0.53,-1.15,0.11,-0.34,-0.32,-0.18,-0.13,-0.1,0.57,-1.33,-0.47,0.091863517,-0.23625
11/22/2018 6:00,2018,11,22,6,7,0.233,-0.84,-0.32,-0.6,0.47,-0.06,-0.01,0.14,0.15,0.26,0.73,-0.98,0.07,0.692257218,0.365833333
11/22/2018 7:00,2018,11,22,7,8,0.673,-0.48,-0.07,-0.01,0.78,0.24,0.33,0.44,0.35,0.51,0.85,-0.76,0.53,0.967847769,0.904
11/22/2018 8:00,2018,11,22,8,9,0.912,-0.15,0.13,0.52,0.98,0.51,0.64,0.66,0.51,0.7,0.92,-0.61,0.84,0.859580052,1.1725
11/22/2018 9:00,2018,11,22,9,10,0.787,0.08,0.27,0.89,1.01,0.71,0.9,0.73,0.51,0.65,0.91,-0.68,0.97,0.403543307,0.924736841
11/22/2018 10:00,2018,11,22,10,11,0.2,0.1,0.3,0.88,0.88,0.72,0.94,0.66,0.35,0.42,0.84,-0.92,0.8,-0.282152231,0.440454544
11/22/2018 11:00,2018,11,22,11,12,-0.348,-0.09,0.18,0.53,0.61,0.54,0.7,0.4,0.12,0.09,0.7,-1.25,0.36,-1.017060367,-0.076086955
11/22/2018 12:00,2018,11,22,12,13,-0.784,-0.38,0.01,0.05,0.27,0.3,0.43,0.08,-0.14,-0.23,0.53,-1.61,-0.12,-1.614173228,-0.575789475
11/22/2018 13:00,2018,11,22,13,14,-1.184,-0.69,-0.2,-0.41,-0.03,0.04,0.16,-0.2,-0.37,-0.55,0.42,-1.92,-0.6,-1.922572178,-1.1132
11/22/2018 14:00,2018,11,22,14,15,-1.348,-0.98,-0.39,-0.87,-0.24,-0.19,-0.11,-0.39,-0.51,-0.72,0.35,-2.02,-1.04,-1.86023622,-1.353333333
11/22/2018 15:00,2018,11,22,15,16,-1.194,-1.21,-0.52,-1.22,-0.27,-0.37,-0.33,-0.45,-0.51,-0.68,0.36,-1.96,-0.98,-1.453412073,-1.2625
11/22/2018 16:00,2018,11,22,16,17,-0.771,-1.26,-0.57,-1.34,-0.12,-0.42,-0.41,-0.36,-0.36,-0.41,0.46,-1.66,-0.84,-0.807086614,-0.806818182
11/22/2018 17:00,2018,11,22,17,18,-0.207,-1.08,-0.45,-1.03,0.17,-0.25,-0.24,-0.13,-0.09,-0.06,0.63,-1.28,-0.41,-0.098425197,-0.182758622
11/22/2018 18:00,2018,11,22,18,19,0.302,-0.78,-0.25,-0.49,0.54,0,0.05,0.19,0.18,0.28,0.76,-0.96,0.11,0.485564304,0.454
11/22/2018 19:00,2018,11,22,19,20,0.758,-0.42,-0.01,0.05,0.83,0.29,0.38,0.48,0.4,0.57,0.9,-0.7,0.55,0.784120735,0.931578947
11/22/2018 20:00,2018,11,22,20,21,1.004,-0.07,0.19,0.6,1.04,0.57,0.71,0.7,0.55,0.73,1,-0.57,0.89,0.705380577,1.194285715
11/22/2018 21:00,2018,11,22,21,22,0.863,0.13,0.32,0.94,1.11,0.76,0.95,0.8,0.57,0.71,0.97,-0.61,1.02,0.259186352,0.982777779
11/22/2018 22:00,2018,11,22,22,23,0.394,0.17,0.37,0.96,0.99,0.77,0.96,0.72,0.39,0.48,0.88,-0.84,0.89,-0.452755906,0.531428573
11/22/2018 23:00,2018,11,22,23,24,-0.256,0,0.27,0.63,0.74,0.6,0.76,0.47,0.18,0.17,0.77,-1.18,0.47,-1.25656168,0.021666667
