,index,year,month,day,hour,tide,SWP,PVP,NI,NSP,LG,FP,IBP,MBHS,AFP,CP,FLP,MBM,MiamiBeach,s27t
5/23/2019 0:00,1,2019,5,23,0,0.157,-0.19,-0.24,0.15,0.47,0.1,0.21,0.27,0.1,0.21,0.51,-0.38,0.64,0.124671916,0.454
5/23/2019 1:00,2,2019,5,23,1,0.348,0,-0.11,0.45,0.48,0.25,0.42,0.33,0.05,0.15,0.52,-0.46,0.71,-0.259186352,0.256875
5/23/2019 2:00,3,2019,5,23,2,0.23,-0.01,-0.13,0.4,0.38,0.26,0.43,0.24,-0.1,-0.07,0.43,-0.7,0.54,-0.800524934,-0.097727274
5/23/2019 3:00,4,2019,5,23,3,-0.253,-0.17,-0.24,0.1,0.15,0.1,0.27,0.04,-0.34,-0.38,0.31,-1.03,0.13,-1.361548556,-0.560526316
5/23/2019 4:00,5,2019,5,23,4,-0.659,-0.4,-0.4,-0.28,-0.13,-0.09,0.07,-0.2,-0.58,-0.69,0.18,-1.32,-0.31,-1.797900262,-1.084516129
5/23/2019 5:00,6,2019,5,23,5,-1.047,-0.69,-0.57,-0.71,-0.37,-0.32,-0.22,-0.41,-0.77,-0.93,0.07,-1.57,-0.67,-2.007874016,-1.409411765
5/23/2019 6:00,7,2019,5,23,6,-1.332,-0.93,-0.72,-1.08,-0.52,-0.52,-0.43,-0.58,-0.89,-1.06,0,-1.67,-0.99,-1.945538058,-1.66375
5/23/2019 7:00,8,2019,5,23,7,-1.49,-1.11,-0.84,-1.37,-0.58,-0.68,-0.62,-0.64,-0.89,-1.05,0,-1.63,-1.08,-1.637139108,-1.570769232
5/23/2019 8:00,9,2019,5,23,8,-1.427,-1.17,-0.88,-1.47,-0.48,-0.72,-0.68,-0.56,-0.76,-0.85,0.1,-1.4,-0.95,-1.171259843,-1.238235295
5/23/2019 9:00,10,2019,5,23,9,-1.115,-1.05,-0.8,-1.24,-0.29,-0.6,-0.56,-0.41,-0.56,-0.57,0.2,-1.1,-0.59,-0.675853018,-0.808421053
