,index,SWP,PVP,NI,NSP,LG,FP,IBP,MBHS,CP,FLP,tide,MiamiBeach,s27t
8/8/2020 10:00,1,-0.39,-0.39,-0.58,0.24,-0.12,0.01,0.08,-0.17,0.54,-0.74,-0.125,-0.170603675,-0.008636365
8/8/2020 11:00,2,-0.11,-0.19,-0.15,0.48,0.09,0.21,0.29,0.04,0.64,-0.54,0.19,0.039370079,0.382962963
8/8/2020 12:00,3,0.14,-0.05,0.22,0.63,0.29,0.46,0.43,0.14,0.72,-0.43,0.354,-0.022965879,0.54375
8/8/2020 13:00,4,0.3,0.06,0.49,0.66,0.41,0.6,0.5,0.12,0.7,-0.48,0.279,-0.337926509,0.414
8/8/2020 14:00,5,0.3,0.07,0.48,0.57,0.43,0.63,0.42,0,0.65,-0.68,-0.141,-0.823490814,0.126190476
8/8/2020 15:00,6,0.15,-0.03,0.23,0.36,0.3,0.48,0.25,-0.22,0.53,-0.96,-0.522,-1.348425197,-0.204634147
8/8/2020 16:00,7,-0.11,-0.18,-0.18,0.08,0.08,0.24,0.04,-0.44,0.4,-1.23,-0.879,-1.781496063,-0.476896552
8/8/2020 17:00,8,-0.36,-0.35,-0.54,-0.14,-0.1,0.03,-0.17,-0.63,0.28,-1.48,-1.171,-2.004593176,-0.765882352
8/8/2020 18:00,9,-0.59,-0.51,-0.91,-0.31,-0.3,-0.19,-0.33,-0.77,0.22,-1.6,-1.332,-1.968503937,-0.971666667
8/8/2020 19:00,10,-0.78,-0.63,-1.2,-0.37,-0.45,-0.35,-0.42,-0.76,0.22,-1.55,-1.266,-1.676509186,-1
8/8/2020 20:00,11,-0.83,-0.66,-1.27,-0.28,-0.5,-0.41,-0.37,-0.63,0.28,-1.35,-0.925,-1.204068241,-0.8
8/8/2020 21:00,12,-0.69,-0.58,-1.01,-0.05,-0.37,-0.28,-0.21,-0.41,0.39,-1.05,-0.512,-0.672572178,-0.4904
8/8/2020 22:00,13,-0.45,-0.42,-0.66,0.2,-0.18,-0.07,0.02,-0.19,0.52,-0.76,-0.161,-0.216535433,-0.045416667
8/8/2020 23:00,14,-0.16,-0.23,-0.2,0.46,0.04,0.19,0.24,0.01,0.63,-0.55,0.21,0.045931759,0.371276594
8/9/2020 0:00,15,0.11,-0.07,0.2,0.61,0.26,0.41,0.42,0.14,0.69,-0.44,0.42,0.052493438,0.572727274
8/9/2020 1:00,16,0.29,0.03,0.49,0.66,0.42,0.63,0.5,0.14,0.71,-0.43,0.377,-0.206692913,0.430952382
8/9/2020 2:00,17,0.32,0.06,0.5,0.58,0.44,0.6,0.43,0,0.63,-0.64,-0.01,-0.659448819,0.124444446
8/9/2020 3:00,18,0.17,-0.03,0.25,0.38,0.3,0.48,0.25,-0.2,0.54,-0.91,-0.443,-1.197506562,-0.15690476
8/9/2020 4:00,19,-0.07,-0.17,-0.12,0.12,0.12,0.28,0.04,-0.41,0.41,-1.22,-0.804,-1.689632546,-0.495
8/9/2020 5:00,20,-0.32,-0.34,-0.5,-0.15,-0.08,0.05,-0.16,-0.63,0.27,-1.49,-1.155,-2.011154856,-0.746190476
8/9/2020 6:00,21,-0.57,-0.51,-0.87,-0.35,-0.3,-0.18,-0.38,-0.81,0.18,-1.67,-1.411,-2.086614173,-1.014545456
8/9/2020 7:00,22,-0.79,-0.64,-1.19,-0.45,-0.47,-0.38,-0.48,-0.87,0.14,-1.69,-1.444,-1.902887139,-1.132
8/9/2020 8:00,23,-0.9,-0.72,-1.4,-0.4,-0.58,-0.5,-0.5,-0.77,0.18,-1.55,-1.243,-1.505905512,-1.006363635
8/9/2020 9:00,24,-0.84,-0.68,-1.23,-0.27,-0.51,-0.43,-0.37,-0.6,0.27,-1.31,-0.876,-1.000656168,-0.74
8/9/2020 10:00,25,-0.64,-0.56,-0.94,-0.06,-0.36,-0.24,-0.18,-0.38,0.38,-1,-0.486,-0.508530184,-0.374444446
8/9/2020 11:00,26,-0.41,-0.4,-0.55,0.19,-0.14,-0.01,0.01,-0.18,0.49,-0.77,-0.151,-0.157480315,0.013529413
8/9/2020 12:00,27,-0.13,-0.24,-0.12,0.38,0.06,0.2,0.21,-0.03,0.57,-0.61,0.092,-0.026246719,0.34
8/9/2020 13:00,28,0.06,-0.12,0.2,0.48,0.23,0.37,0.33,0.05,0.63,-0.55,0.217,-0.144356955,0.372368422
8/9/2020 14:00,29,0.17,-0.06,0.34,0.5,0.32,0.52,0.36,0,0.58,-0.64,0.026,-0.475721785,0.121304347
8/9/2020 15:00,30,0.12,-0.08,0.25,0.38,0.28,0.45,0.25,-0.19,0.49,-0.91,-0.397,-0.93175853,-0.129375
8/9/2020 16:00,31,-0.05,-0.17,-0.06,0.15,0.12,0.31,0.07,-0.39,0.39,-1.17,-0.761,-1.391076115,-0.413333333
8/9/2020 17:00,32,-0.3,-0.35,-0.41,-0.08,-0.08,0.07,-0.14,-0.58,0.27,-1.4,-1.053,-1.732283465,-0.666086955
8/9/2020 18:00,33,-0.53,-0.49,-0.76,-0.27,-0.27,-0.14,-0.3,-0.74,0.19,-1.58,-1.25,-1.87007874,-0.92
8/9/2020 19:00,34,-0.72,-0.62,-1.09,-0.37,-0.42,-0.33,-0.44,-0.83,0.14,-1.63,-1.312,-1.768372703,-1.0425
8/9/2020 20:00,35,-0.83,-0.7,-1.23,-0.38,-0.53,-0.44,-0.47,-0.79,0.16,-1.57,-1.237,-1.453412073,-0.957
8/9/2020 21:00,36,-0.82,-0.68,-1.19,-0.26,-0.5,-0.42,-0.39,-0.64,0.23,-1.35,-0.912,-1.010498688,-0.773
8/9/2020 22:00,37,-0.67,-0.59,-0.94,-0.1,-0.37,-0.28,-0.21,-0.42,0.36,-1.05,-0.512,-0.547900262,-0.411875
