index,well,date,tide
1,-0.099,1/8/2009 0:00,-2.539
2,-0.099,1/8/2009 1:00,-2.277
3,-0.099,1/8/2009 2:00,-1.801
4,-0.099,1/8/2009 3:00,-1.23
5,-0.099,1/8/2009 4:00,-0.781
6,-0.099,1/8/2009 5:00,-0.44
7,-0.099,1/8/2009 6:00,-0.21
8,-0.099,1/8/2009 7:00,-0.325
9,-0.099,1/8/2009 8:00,-0.755
10,-0.109,1/8/2009 9:00,-1.23
11,-0.109,1/8/2009 10:00,-1.608
12,-0.109,1/8/2009 11:00,-1.916
13,-0.109,1/8/2009 12:00,-2.044
14,-0.109,1/8/2009 13:00,-2.011
15,-0.109,1/8/2009 14:00,-1.68
16,-0.119,1/8/2009 15:00,-1.243
17,-0.119,1/8/2009 16:00,-0.85
18,-0.119,1/8/2009 17:00,-0.554
19,-0.119,1/8/2009 18:00,-0.354
20,-0.119,1/8/2009 19:00,-0.538
21,-0.119,1/8/2009 20:00,-1.037
22,-0.119,1/8/2009 21:00,-1.542
23,-0.129,1/8/2009 22:00,-2.051
24,-0.129,1/8/2009 23:00,-2.52
25,-0.129,1/9/2009 0:00,-2.812
26,-0.129,1/9/2009 1:00,-2.871
27,-0.129,1/9/2009 2:00,-2.631
28,-0.139,1/9/2009 3:00,-2.162
29,-0.139,1/9/2009 4:00,-1.601
30,-0.139,1/9/2009 5:00,-1.083
31,-0.139,1/9/2009 6:00,-0.63
32,-0.139,1/9/2009 7:00,-0.397
33,-0.139,1/9/2009 8:00,-0.492
34,-0.139,1/9/2009 9:00,-0.958
35,-0.139,1/9/2009 10:00,-1.526
36,-0.139,1/9/2009 11:00,-1.942
37,-0.139,1/9/2009 12:00,-2.27
38,-0.149,1/9/2009 13:00,-2.438
39,-0.149,1/9/2009 14:00,-2.369
40,-0.149,1/9/2009 15:00,-2.021
41,-0.149,1/9/2009 16:00,-1.476
42,-0.149,1/9/2009 17:00,-1.06
43,-0.149,1/9/2009 18:00,-0.627
44,-0.149,1/9/2009 19:00,-0.4
45,-0.149,1/9/2009 20:00,-0.495
46,-0.149,1/9/2009 21:00,-0.984
47,-0.169,1/9/2009 22:00,-1.558
48,-0.169,1/9/2009 23:00,-2.06
49,-0.169,1/10/2009 0:00,-2.51
50,-0.169,1/10/2009 1:00,-2.835
51,-0.169,1/10/2009 2:00,-2.894
52,-0.179,1/10/2009 3:00,-2.615
53,-0.179,1/10/2009 4:00,-2.073
54,-0.179,1/10/2009 5:00,-1.398
55,-0.179,1/10/2009 6:00,-0.856
56,-0.179,1/10/2009 7:00,-0.361
57,-0.179,1/10/2009 8:00,-0.098
58,-0.189,1/10/2009 9:00,-0.24
59,-0.189,1/10/2009 10:00,-0.801
60,-0.189,1/10/2009 11:00,-1.401
61,-0.189,1/10/2009 12:00,-1.86
62,-0.189,1/10/2009 13:00,-2.264
63,-0.189,1/10/2009 14:00,-2.49
64,-0.189,1/10/2009 15:00,-2.382
65,-0.189,1/10/2009 16:00,-1.975
66,-0.189,1/10/2009 17:00,-1.401
67,-0.189,1/10/2009 18:00,-0.922
68,-0.189,1/10/2009 19:00,-0.512
69,-0.189,1/10/2009 20:00,-0.259
70,-0.189,1/10/2009 21:00,-0.41
71,-0.189,1/10/2009 22:00,-0.935
72,-0.189,1/10/2009 23:00,-1.519
73,-0.189,1/11/2009 0:00,-2.057
74,-0.189,1/11/2009 1:00,-2.516
75,-0.189,1/11/2009 2:00,-2.851
76,-0.189,1/11/2009 3:00,-2.881
77,-0.189,1/11/2009 4:00,-2.562
78,-0.199,1/11/2009 5:00,-1.991
79,-0.199,1/11/2009 6:00,-1.355
80,-0.199,1/11/2009 7:00,-0.807
81,-0.199,1/11/2009 8:00,-0.318
82,-0.209,1/11/2009 9:00,-0.095
83,-0.209,1/11/2009 10:00,-0.305
84,-0.209,1/11/2009 11:00,-0.892
85,-0.209,1/11/2009 12:00,-1.48
86,-0.209,1/11/2009 13:00,-1.913
87,-0.209,1/11/2009 14:00,-2.297
88,-0.209,1/11/2009 15:00,-2.428
89,-0.209,1/11/2009 16:00,-2.369
90,-0.209,1/11/2009 17:00,-1.906
91,-0.209,1/11/2009 18:00,-1.312
92,-0.209,1/11/2009 19:00,-0.784
93,-0.219,1/11/2009 20:00,-0.367
94,-0.219,1/11/2009 21:00,-0.144
95,-0.219,1/11/2009 22:00,-0.282
96,-0.219,1/11/2009 23:00,-0.902
97,-0.219,1/12/2009 0:00,-1.535
98,-0.219,1/12/2009 1:00,-2.054
99,-0.219,1/12/2009 2:00,-2.49
100,-0.219,1/12/2009 3:00,-2.779
101,-0.219,1/12/2009 4:00,-2.772
102,-0.219,1/12/2009 5:00,-2.441
103,-0.219,1/12/2009 6:00,-1.86
104,-0.219,1/12/2009 7:00,-1.273
105,-0.219,1/12/2009 8:00,-0.751
106,-0.219,1/12/2009 9:00,-0.279
107,-0.219,1/12/2009 10:00,-0.105
108,-0.219,1/12/2009 11:00,-0.39
109,-0.219,1/12/2009 12:00,-1.017
110,-0.219,1/12/2009 13:00,-1.617
111,-0.219,1/12/2009 14:00,-2.041
112,-0.219,1/12/2009 15:00,-2.385
113,-0.219,1/12/2009 16:00,-2.503
114,-0.219,1/12/2009 17:00,-2.405
115,-0.219,1/12/2009 18:00,-1.903
116,-0.219,1/12/2009 19:00,-1.312
117,-0.219,1/12/2009 20:00,-0.814
118,-0.219,1/12/2009 21:00,-0.387
119,-0.229,1/12/2009 22:00,-0.21
120,-0.229,1/12/2009 23:00,-0.394
121,-0.229,1/13/2009 0:00,-0.961
122,-0.229,1/13/2009 1:00,-1.529
123,-0.229,1/13/2009 2:00,-2.014
124,-0.229,1/13/2009 3:00,-2.438
125,-0.229,1/13/2009 4:00,-2.7
126,-0.229,1/13/2009 5:00,-2.648
127,-0.229,1/13/2009 6:00,-2.241
128,-0.229,1/13/2009 7:00,-1.627
129,-0.229,1/13/2009 8:00,-1.033
130,-0.229,1/13/2009 9:00,-0.456
131,-0.229,1/13/2009 10:00,-0.02
132,-0.229,1/13/2009 11:00,0.075
133,-0.229,1/13/2009 12:00,-0.318
134,-0.199,1/13/2009 13:00,-0.961
135,-0.189,1/13/2009 14:00,-1.509
136,-0.189,1/13/2009 15:00,-1.982
137,-0.189,1/13/2009 16:00,-2.343
138,-0.189,1/13/2009 17:00,-2.411
139,-0.189,1/13/2009 18:00,-2.293
140,-0.189,1/13/2009 19:00,-1.841
141,-0.189,1/13/2009 20:00,-1.26
142,-0.189,1/13/2009 21:00,-0.804
143,-0.189,1/13/2009 22:00,-0.43
144,-0.189,1/13/2009 23:00,-0.302
145,-0.189,1/14/2009 0:00,-0.489
146,-0.189,1/14/2009 1:00,-1.181
147,-0.189,1/14/2009 2:00,-1.752
148,-0.189,1/14/2009 3:00,-2.257
149,-0.189,1/14/2009 4:00,-2.612
150,-0.189,1/14/2009 5:00,-2.743
151,-0.189,1/14/2009 6:00,-2.585
152,-0.189,1/14/2009 7:00,-2.297
153,-0.189,1/14/2009 8:00,-1.716
154,-0.189,1/14/2009 9:00,-1.152
155,-0.189,1/14/2009 10:00,-0.64
156,-0.189,1/14/2009 11:00,-0.302
157,-0.189,1/14/2009 12:00,-0.322
158,-0.189,1/14/2009 13:00,-0.748
159,-0.189,1/14/2009 14:00,-1.355
160,-0.189,1/14/2009 15:00,-1.88
161,-0.189,1/14/2009 16:00,-2.29
162,-0.189,1/14/2009 17:00,-2.562
163,-0.189,1/14/2009 18:00,-2.598
