index,well,date,tide,
1,0.461,1/12/2018 0:00,-1.886,
2,0.461,1/12/2018 1:00,-1.631,
3,0.461,1/12/2018 2:00,-1.158,
4,0.461,1/12/2018 3:00,-0.787,
5,0.461,1/12/2018 4:00,-0.459,
6,0.451,1/12/2018 5:00,-0.141,
7,0.451,1/12/2018 6:00,-0.02,
8,0.451,1/12/2018 7:00,-0.243,
9,0.441,1/12/2018 8:00,-0.62,
10,0.441,1/12/2018 9:00,-0.988,
11,0.391,1/12/2018 10:00,-1.302,
12,0.391,1/12/2018 11:00,-1.519,
13,0.391,1/12/2018 12:00,-1.614,
14,0.391,1/12/2018 13:00,-1.496,
15,0.391,1/12/2018 14:00,-1.152,
16,0.391,1/12/2018 15:00,-0.771,
17,0.391,1/12/2018 16:00,-0.515,
18,0.381,1/12/2018 17:00,-0.24,
19,0.381,1/12/2018 18:00,-0.236,
20,0.381,1/12/2018 19:00,-0.394,
21,0.381,1/12/2018 20:00,-0.787,
22,0.381,1/12/2018 21:00,-1.198,
23,0.381,1/12/2018 22:00,-1.585,
24,0.381,1/12/2018 23:00,-1.89,
25,0.381,1/13/2018 0:00,-2.067,
26,0.371,1/13/2018 1:00,-2.034,
27,0.371,1/13/2018 2:00,-1.739,
28,0.371,1/13/2018 3:00,-1.325,
29,0.371,1/13/2018 4:00,-1.004,
30,0.371,1/13/2018 5:00,-0.669,
31,0.361,1/13/2018 6:00,-0.358,
32,0.361,1/13/2018 7:00,-0.292,
33,0.361,1/13/2018 8:00,-0.466,
34,0.351,1/13/2018 9:00,-0.922,
35,0.351,1/13/2018 10:00,-1.289,
36,0.341,1/13/2018 11:00,-1.621,
37,0.341,1/13/2018 12:00,-1.781,
38,0.341,1/13/2018 13:00,-1.818,
39,0.331,1/13/2018 14:00,-1.634,
40,0.331,1/13/2018 15:00,-1.247,
41,0.331,1/13/2018 16:00,-0.892,
42,0.331,1/13/2018 17:00,-0.584,
43,0.321,1/13/2018 18:00,-0.358,
44,0.321,1/13/2018 19:00,-0.282,
45,0.321,1/13/2018 20:00,-0.6,
46,0.311,1/13/2018 21:00,-1.099,
47,0.311,1/13/2018 22:00,-1.552,
48,0.311,1/13/2018 23:00,-1.946,
49,0.311,1/14/2018 0:00,-2.257,
50,0.301,1/14/2018 1:00,-2.365,
51,0.301,1/14/2018 2:00,-2.221,
52,0.301,1/14/2018 3:00,-1.919,
53,0.301,1/14/2018 4:00,-1.486,
54,0.291,1/14/2018 5:00,-1.076,
55,0.281,1/14/2018 6:00,-0.722,
56,0.281,1/14/2018 7:00,-0.413,
57,0.281,1/14/2018 8:00,-0.367,
58,0.281,1/14/2018 9:00,-0.607,
59,0.271,1/14/2018 10:00,-1.066,
60,0.271,1/14/2018 11:00,-1.473,
61,0.271,1/14/2018 12:00,-1.726,
62,0.271,1/14/2018 13:00,-1.916,
63,0.261,1/14/2018 14:00,-1.919,
64,0.261,1/14/2018 15:00,-1.68,
65,0.261,1/14/2018 16:00,-1.329,
66,0.251,1/14/2018 17:00,-0.981,
67,0.251,1/14/2018 18:00,-0.614,
68,0.251,1/14/2018 19:00,-0.331,
69,0.251,1/14/2018 20:00,-0.364,
70,0.251,1/14/2018 21:00,-0.689,
71,0.241,1/14/2018 22:00,-1.161,
72,0.241,1/14/2018 23:00,-1.568,
73,0.241,1/15/2018 0:00,-1.946,
74,0.241,1/15/2018 1:00,-2.198,
75,0.241,1/15/2018 2:00,-2.244,
76,0.241,1/15/2018 3:00,-2.024,
77,0.241,1/15/2018 4:00,-1.634,
78,0.241,1/15/2018 5:00,-1.125,
79,0.231,1/15/2018 6:00,-0.663,
80,0.231,1/15/2018 7:00,-0.305,
81,0.231,1/15/2018 8:00,-0.069,
82,0.231,1/15/2018 9:00,-0.049,
83,0.231,1/15/2018 10:00,-0.466,
84,0.231,1/15/2018 11:00,-0.981,
85,0.231,1/15/2018 12:00,-1.286,
86,0.221,1/15/2018 13:00,-1.575,
87,0.221,1/15/2018 14:00,-1.722,
88,0.221,1/15/2018 15:00,-1.647,
89,0.221,1/15/2018 16:00,-1.355,
90,0.211,1/15/2018 17:00,-0.932,
91,0.211,1/15/2018 18:00,-0.495,
92,0.211,1/15/2018 19:00,-0.095,
93,0.211,1/15/2018 20:00,0.141,
94,0.211,1/15/2018 21:00,0.059,
95,0.211,1/15/2018 22:00,-0.361,
96,0.211,1/15/2018 23:00,-0.912,
97,0.211,1/16/2018 0:00,-1.289,
98,0.211,1/16/2018 1:00,-1.627,
99,0.211,1/16/2018 2:00,-1.818,
100,0.221,1/16/2018 3:00,-1.762,
101,0.221,1/16/2018 4:00,-1.496,
102,0.221,1/16/2018 5:00,-1.033,
103,0.221,1/16/2018 6:00,-0.564,
104,0.221,1/16/2018 7:00,-0.118,
105,0.211,1/16/2018 8:00,0.21,
106,0.211,1/16/2018 9:00,0.348,
107,0.221,1/16/2018 10:00,0.059,
108,0.221,1/16/2018 11:00,-0.492,
109,0.221,1/16/2018 12:00,-0.922,
110,0.221,1/16/2018 13:00,-1.316,
111,0.221,1/16/2018 14:00,-1.614,
112,0.221,1/16/2018 15:00,-1.617,
113,0.231,1/16/2018 16:00,-1.424,
114,0.231,1/16/2018 17:00,-1.043,
115,0.231,1/16/2018 18:00,-0.65,
116,0.231,1/16/2018 19:00,-0.269,
117,0.231,1/16/2018 20:00,0.069,
118,0.231,1/16/2018 21:00,0.184,
119,0.231,1/16/2018 22:00,-0.105,
120,0.231,1/16/2018 23:00,-0.656,
121,0.231,1/17/2018 0:00,-1.089,
122,0.231,1/17/2018 1:00,-1.516,
123,0.231,1/17/2018 2:00,-1.801,
124,0.231,1/17/2018 3:00,-1.906,
125,0.231,1/17/2018 4:00,-1.768,
126,0.241,1/17/2018 5:00,-1.375,
127,0.241,1/17/2018 6:00,-0.935,
128,0.241,1/17/2018 7:00,-0.463,
129,0.241,1/17/2018 8:00,-0.03,
130,0.231,1/17/2018 9:00,0.223,
131,0.231,1/17/2018 10:00,0.226,
132,0.231,1/17/2018 11:00,-0.151,
133,0.231,1/17/2018 12:00,-0.659,
134,0.231,1/17/2018 13:00,-1.076,
135,0.231,1/17/2018 14:00,-1.388,
136,0.241,1/17/2018 15:00,-1.604,
137,0.241,1/17/2018 16:00,-1.608,
138,0.241,1/17/2018 17:00,-1.283,
139,0.241,1/17/2018 18:00,-0.817,
140,0.231,1/17/2018 19:00,-0.394,
141,0.231,1/17/2018 20:00,-0.013,
142,0.231,1/17/2018 21:00,0.223,
143,0.231,1/17/2018 22:00,0.148,
144,0.231,1/17/2018 23:00,-0.364,
145,0.241,1/18/2018 0:00,-0.889,
146,0.241,1/18/2018 1:00,-1.342,
147,0.241,1/18/2018 2:00,-1.742,
148,0.241,1/18/2018 3:00,-1.998,
149,0.241,1/18/2018 4:00,-2.014,
150,0.241,1/18/2018 5:00,-1.781,
151,0.241,1/18/2018 6:00,-1.332,
152,0.231,1/18/2018 7:00,-0.879,
153,0.231,1/18/2018 8:00,-0.367,
154,0.231,1/18/2018 9:00,0.062,
155,0.231,1/18/2018 10:00,0.295,
156,0.231,1/18/2018 11:00,0.177,
157,0.231,1/18/2018 12:00,-0.325,
158,0.231,1/18/2018 13:00,-0.804,
159,0.231,1/18/2018 14:00,-1.175,
160,0.231,1/18/2018 15:00,-1.467,
161,0.231,1/18/2018 16:00,-1.562,
162,0.231,1/18/2018 17:00,-1.358,
163,0.231,1/18/2018 18:00,-1.004,
164,0.231,1/18/2018 19:00,-0.531,
165,0.231,1/18/2018 20:00,-0.157,
166,0.231,1/18/2018 21:00,0.138,
167,0.231,1/18/2018 22:00,0.292,
168,0.231,1/18/2018 23:00,0.148,
169,0.231,1/19/2018 0:00,-0.371,
170,0.231,1/19/2018 1:00,-0.863,
171,0.231,1/19/2018 2:00,-1.299,
172,0.231,1/19/2018 3:00,-1.67,
173,0.231,1/19/2018 4:00,-1.821,
174,0.241,1/19/2018 5:00,-1.778,
175,0.241,1/19/2018 6:00,-1.411,
176,0.231,1/19/2018 7:00,-0.945,
177,0.231,1/19/2018 8:00,-0.459,
178,0.231,1/19/2018 9:00,0.003,
179,0.231,1/19/2018 10:00,0.299,
180,0.231,1/19/2018 11:00,0.354,
181,0.231,1/19/2018 12:00,-0.052,
182,0.231,1/19/2018 13:00,-0.643,
183,0.231,1/19/2018 14:00,-1.079,
184,0.231,1/19/2018 15:00,-1.421,
185,0.241,1/19/2018 16:00,-1.627,
186,0.241,1/19/2018 17:00,-1.637,
187,0.241,1/19/2018 18:00,-1.335,
188,0.241,1/19/2018 19:00,-0.899,
189,0.241,1/19/2018 20:00,-0.518,
190,0.241,1/19/2018 21:00,-0.095,
191,0.241,1/19/2018 22:00,0.203,
