index,well,date,tide,hw,
1,0.878,11/25/2007 0:00,-0.754222222,0.140222222,
2,0.878,11/25/2007 1:00,-1.265,-0.0435,
3,0.878,11/25/2007 2:00,-1.6635,-0.215,
4,0.878,11/25/2007 3:00,-1.944,-0.37,
5,0.878,11/25/2007 4:00,-1.927,-0.458,
6,0.868,11/25/2007 5:00,-1.542,-0.4415,
7,0.868,11/25/2007 6:00,-0.931,-0.317,
8,0.868,11/25/2007 7:00,-0.2235,-0.076,
9,0.868,11/25/2007 8:00,0.433652174,0.12973913,
10,0.868,11/25/2007 9:00,0.893,0.279,
11,0.868,11/25/2007 10:00,0.8025,0.3655,
12,0.868,11/25/2007 11:00,0.319666667,0.408833333,
13,0.868,11/25/2007 12:00,-0.193,0.268,
14,0.858,11/25/2007 13:00,-0.737789474,0.115368421,
15,0.858,11/25/2007 14:00,-1.183666667,-0.051444444,
16,0.858,11/25/2007 15:00,-1.536210526,-0.211473684,
17,0.858,11/25/2007 16:00,-1.679,-0.331,
18,0.858,11/25/2007 17:00,-1.4195,-0.35,
19,0.848,11/25/2007 18:00,-0.942526316,-0.273052632,
20,0.848,11/25/2007 19:00,-0.348,-0.102,
21,0.848,11/25/2007 20:00,0.228,0.131333333,
22,0.838,11/25/2007 21:00,0.6235,0.2575,
23,0.838,11/25/2007 22:00,0.565777778,0.350222222,
24,0.828,11/25/2007 23:00,0.158,0.364956522,
25,0.828,11/26/2007 0:00,-0.376,0.2095,
26,0.828,11/26/2007 1:00,-0.894,0.0375,
27,0.828,11/26/2007 2:00,-1.365,-0.1375,
28,0.828,11/26/2007 3:00,-1.7235,-0.307,
29,0.818,11/26/2007 4:00,-1.9705,-0.4535,
30,0.818,11/26/2007 5:00,-1.8805,-0.5225,
31,0.818,11/26/2007 6:00,-1.4985,-0.4885,
32,0.808,11/26/2007 7:00,-0.906,-0.36,
33,0.808,11/26/2007 8:00,-0.190181818,-0.099272727,
34,0.808,11/26/2007 9:00,0.444666667,0.074666667,
35,0.808,11/26/2007 11:00,0.671,0.3015,
36,0.808,11/26/2007 12:00,0.193454545,0.340272727,
37,0.808,11/26/2007 13:00,-0.3715,0.1825,
38,0.808,11/26/2007 14:00,-0.89,0.021,
39,0.808,11/26/2007 15:00,-1.348,-0.15,
40,0.808,11/26/2007 16:00,-1.6655,-0.307,
41,0.808,11/26/2007 17:00,-1.7715,-0.4215,
42,0.798,11/26/2007 18:00,-1.517,-0.44,
43,0.798,11/26/2007 19:00,-1.0785,-0.3695,
