index,well,date,tide,hw
1,0.248,3/1/2013 0:00,0.585,0.468
2,0.248,3/1/2013 1:00,0.156846154,0.416076923
3,0.248,3/1/2013 2:00,-0.356,0.207
4,0.248,3/1/2013 3:00,-0.932,0.072230769
5,0.248,3/1/2013 4:00,-1.355,0.2305
6,0.248,3/1/2013 5:00,-1.701,0.3305
7,0.248,3/1/2013 6:00,-1.704,0.383
8,0.248,3/1/2013 7:00,-1.322,0.4195
9,0.248,3/1/2013 8:00,-0.77,0.4485
10,0.248,3/1/2013 9:00,-0.205461538,0.313769231
11,0.248,3/1/2013 10:00,0.298,0.370307692
12,0.248,3/1/2013 11:00,0.6435,0.422
13,0.248,3/1/2013 12:00,0.561,0.4535
14,0.248,3/1/2013 13:00,0.158769231,0.416846154
15,0.248,3/1/2013 14:00,-0.3335,0.217
16,0.248,3/1/2013 15:00,-0.915125,0.038625
17,0.248,3/1/2013 16:00,-1.385,0.224
18,0.248,3/1/2013 17:00,-1.752,0.3195
19,0.248,3/1/2013 18:00,-1.8895,0.3765
20,0.248,3/1/2013 19:00,-1.621,0.4165
21,0.248,3/1/2013 20:00,-1.097909091,0.443909091
22,0.248,3/1/2013 21:00,-0.503666667,0.19675
23,0.248,3/1/2013 22:00,0.077583333,0.255916667
24,0.248,3/1/2013 23:00,0.528,0.340727273
25,0.248,3/2/2013 0:00,0.774,0.411
26,0.248,3/2/2013 1:00,0.5165,0.4485
27,0.248,3/2/2013 2:00,0.106461538,0.388384615
28,0.248,3/2/2013 3:00,-0.426,0.1745
29,0.248,3/2/2013 4:00,-0.952,0.086846154
30,0.248,3/2/2013 5:00,-1.354,0.2435
31,0.248,3/2/2013 6:00,-1.5975,0.3185
32,0.248,3/2/2013 7:00,-1.4735,0.353
33,0.248,3/2/2013 8:00,-1.0625,0.379
34,0.248,3/2/2013 9:00,-0.5195,0.398
35,0.248,3/2/2013 10:00,0.0515,0.4155
36,0.248,3/2/2013 11:00,0.563,0.432
37,0.248,3/2/2013 12:00,0.825,0.4465
38,0.248,3/2/2013 13:00,0.6,0.4685
39,0.248,3/2/2013 14:00,0.167230769,0.423769231
40,0.248,3/2/2013 15:00,-0.357,0.2115
41,0.248,3/2/2013 16:00,-0.932769231,0.064923077
42,0.248,3/2/2013 17:00,-1.375,0.224
43,0.248,3/2/2013 18:00,-1.716,0.315
44,0.248,3/2/2013 19:00,-1.787,0.362
45,0.248,3/2/2013 20:00,-1.4695,0.3955
46,0.248,3/2/2013 21:00,-0.9565,0.4195
47,0.248,3/2/2013 22:00,-0.359,0.4375
48,0.248,3/2/2013 23:00,0.2165,0.4525
49,0.248,3/3/2013 0:00,0.6445,0.4665
50,0.248,3/3/2013 1:00,0.739,0.478
51,0.248,3/3/2013 2:00,0.415,0.486
52,0.248,3/3/2013 3:00,0.0208,0.3684
53,0.248,3/3/2013 4:00,-0.4755,0.145
54,0.248,3/3/2013 5:00,-0.9632,0.0948
55,0.248,3/3/2013 6:00,-1.333578947,0.261684211
56,0.248,3/3/2013 7:00,-1.505,0.343
57,0.248,3/3/2013 8:00,-1.292,0.392210526
58,0.248,3/3/2013 9:00,-0.8715,0.4295
59,0.248,3/3/2013 10:00,-0.317769231,0.374153846
60,0.248,3/3/2013 11:00,0.08,0.3265
61,0.248,3/3/2013 12:00,0.453,0.411846154
62,0.248,3/3/2013 13:00,0.6295,0.456
63,0.248,3/3/2013 14:00,0.331461538,0.464923077
64,0.248,3/3/2013 15:00,-0.0745,0.313
65,0.248,3/3/2013 16:00,-0.529,0.12
66,0.248,3/3/2013 17:00,-1.064692308,0.122230769
67,0.248,3/3/2013 18:00,-1.493,0.259
68,0.248,3/3/2013 19:00,-1.827,0.315
69,0.248,3/3/2013 20:00,-1.897,0.345
70,0.248,3/3/2013 21:00,-1.5805,0.37
71,0.248,3/3/2013 22:00,-1.0865,0.387
72,0.248,3/3/2013 23:00,-0.528,0.4045
73,0.248,3/4/2013 0:00,0.004,0.419
74,0.248,3/4/2013 1:00,0.3795,0.4295
75,0.248,3/4/2013 2:00,0.439,0.437
76,0.248,3/4/2013 3:00,0.1505,0.439
77,0.248,3/4/2013 4:00,-0.2535,0.4435
78,0.248,3/4/2013 5:00,-0.672,0.448
79,0.248,3/4/2013 6:00,-1.0515,0.448
80,0.248,3/4/2013 7:00,-1.319692308,0.389153846
81,0.248,3/4/2013 8:00,-1.5072,0.1136
82,0.248,3/4/2013 9:00,-1.3855,0.3045
83,0.248,3/4/2013 10:00,-0.982,0.384
84,0.248,3/4/2013 11:00,-0.454,0.424
85,0.248,3/4/2013 12:00,0.066,0.448
86,0.248,3/4/2013 13:00,0.4625,0.4605
87,0.248,3/4/2013 14:00,0.548,0.4655
88,0.248,3/4/2013 15:00,0.2604,0.4504
89,0.238,3/4/2013 16:00,-0.1265,0.2815
90,0.238,3/4/2013 17:00,-0.5355,0.1015
91,0.238,3/4/2013 18:00,-1.045461538,0.123384615
92,0.238,3/4/2013 19:00,-1.4555,0.2645
93,0.238,3/4/2013 20:00,-1.779,0.3385
94,0.238,3/4/2013 21:00,-1.83,0.38
95,0.238,3/4/2013 22:00,-1.507,0.4105
96,0.238,3/4/2013 23:00,-1,0.432
97,0.238,3/5/2013 0:00,-0.4545,0.4475
98,0.238,3/5/2013 1:00,0.086846154,0.430692308
99,0.238,3/5/2013 2:00,0.444153846,0.469538462
100,0.238,3/5/2013 3:00,0.53,0.4725
101,0.238,3/5/2013 4:00,0.239923077,0.451846154
102,0.238,3/5/2013 5:00,-0.1575,0.2775
103,0.238,3/5/2013 6:00,-0.538,0.0875
104,0.238,3/5/2013 7:00,-1.000461538,0.133384615
105,0.238,3/5/2013 8:00,-1.304,0.273
106,0.238,3/5/2013 9:00,-1.4725,0.3435
107,0.238,3/5/2013 10:00,-1.2785,0.3805
108,0.238,3/5/2013 11:00,-0.869,0.4045
109,0.238,3/5/2013 12:00,-0.397,0.4195
110,0.238,3/5/2013 13:00,0.0645,0.4315
111,0.238,3/5/2013 14:00,0.4165,0.444
112,0.238,3/5/2013 15:00,0.4995,0.452
113,0.238,3/5/2013 16:00,0.257545455,0.458454545
114,0.238,3/5/2013 17:00,-0.06075,0.308416667
115,0.238,3/5/2013 18:00,-0.4985,0.118
116,0.238,3/5/2013 19:00,-0.984692308,0.091076923
117,0.238,3/5/2013 20:00,-1.4095,0.2495
118,0.238,3/5/2013 21:00,-1.7365,0.3285
119,0.238,3/5/2013 22:00,-1.8215,0.3765
120,0.238,3/5/2013 23:00,-1.526,0.4075
121,0.238,3/6/2013 0:00,-1.0455,0.4305
122,0.238,3/6/2013 1:00,-0.5115,0.449
123,0.238,3/6/2013 2:00,-0.014692308,0.384153846
124,0.238,3/6/2013 3:00,0.338384615,0.419538462
125,0.238,3/6/2013 4:00,0.471,0.447
126,0.238,3/6/2013 5:00,0.215692308,0.433769231
127,0.238,3/6/2013 6:00,-0.178,0.264
128,0.238,3/6/2013 7:00,-0.568,0.074
129,0.238,3/6/2013 8:00,-1.051615385,0.136461538
130,0.228,3/6/2013 9:00,-1.44,0.281
131,0.228,3/6/2013 10:00,-1.693,0.3595
132,0.228,3/6/2013 11:00,-1.584,0.412
133,0.228,3/6/2013 12:00,-1.101615385,0.309538462
134,0.228,3/6/2013 13:00,-0.7,0.0625
135,0.228,3/6/2013 14:00,-0.3035,0.0505
136,0.218,3/6/2013 15:00,0.0285,0.1415
137,0.218,3/6/2013 16:00,0.210068966,0.248344828
138,0.228,3/6/2013 17:00,0.1075,0.318
139,0.218,3/6/2013 18:00,-0.233,0.3535
140,0.218,3/6/2013 19:00,-0.6625,0.3705
141,0.218,3/6/2013 20:00,-1.109,0.3855
142,0.218,3/6/2013 21:00,-1.542,0.399
143,0.218,3/6/2013 22:00,-1.885,0.4085
144,0.218,3/6/2013 23:00,-2.038,0.4125
145,0.218,3/7/2013 0:00,-1.85,0.4245
146,0.208,3/7/2013 1:00,-1.45,0.428
147,0.208,3/7/2013 2:00,-0.959,0.432
148,0.208,3/7/2013 3:00,-0.4235,0.4385
149,0.208,3/7/2013 4:00,0.0535,0.4445
150,0.208,3/7/2013 5:00,0.293,0.448
151,0.208,3/7/2013 6:00,0.1185,0.4525
152,0.208,3/7/2013 7:00,-0.209307692,0.284538462
153,0.208,3/7/2013 8:00,-0.681090909,0.045272727
154,0.208,3/7/2013 9:00,-1.173666667,0.202166667
155,0.208,3/7/2013 10:00,-1.532,0.296
156,0.208,3/7/2013 11:00,-1.755,0.3555
157,0.208,3/7/2013 12:00,-1.6535,0.389
158,0.208,3/7/2013 13:00,-1.2825,0.409
159,0.208,3/7/2013 14:00,-0.7955,0.427
160,0.208,3/7/2013 15:00,-0.2975,0.4365
161,0.208,3/7/2013 16:00,0.135368421,0.444315789
162,0.208,3/7/2013 17:00,0.4095,0.4485
163,0.208,3/7/2013 18:00,0.3265,0.458
164,0.208,3/7/2013 19:00,-0.000461538,0.339923077
165,0.208,3/7/2013 20:00,-0.493,0.1285
166,0.208,3/7/2013 21:00,-1.0148,0.0992
167,0.208,3/7/2013 22:00,-1.477,0.247
168,0.208,3/7/2013 23:00,-1.863,0.3195
169,0.208,3/8/2013 0:00,-2.064,0.3615
170,0.208,3/8/2013 1:00,-1.8595,0.3905
171,0.208,3/8/2013 2:00,-1.3965,0.414
172,0.208,3/8/2013 3:00,-0.831,0.43
173,0.188,3/8/2013 4:00,-0.26,0.44
174,0.188,3/8/2013 5:00,0.2255,0.45
