index,well,date,tide,hw,swp,pvp,ni,NSP,IBP,CP,s27t,MiamiBeach
1,0.408,3/12/2020 0:00,0.776695652,0.488,0.68,0.32,1.17,1.04,0.89,0.87,0.798695652,-0.099
2,0.398,3/12/2020 1:00,0.199111111,0.429111111,0.6,0.29,0.99,0.82,0.68,0.75,0.221111111,-0.372
3,0.368,3/12/2020 2:00,-0.402,0.238,0.3,0.09,0.52,0.43,0.34,0.55,-0.38,-0.638
4,0.358,3/12/2020 3:00,-0.987384615,0.028,-0.05,-0.15,-0.02,0,-0.03,0.34,-0.965384615,-0.829
5,0.338,3/12/2020 4:00,-1.51247619,0.147090909,-0.41,-0.4,-0.57,-0.36,-0.37,0.19,-1.49047619,-0.898
6,0.348,3/12/2020 5:00,-1.887454545,0.313714286,-0.74,-0.6,-1.09,-0.55,-0.58,0.11,-1.865454545,-0.83
7,0.348,3/12/2020 6:00,-1.701473684,0.381333333,-1,-0.74,-1.51,-0.53,-0.6,0.17,-1.679473684,-0.642
8,0.368,3/12/2020 7:00,-1.18575,0.408,-1.05,-0.75,-1.61,-0.32,-0.44,0.3,-1.16375,-0.383
9,0.378,3/12/2020 8:00,-0.487,0.433,-0.82,-0.58,-1.21,0.09,-0.1,0.48,-0.465,-0.121
10,0.418,3/12/2020 9:00,0.24837037,0.463,-0.46,-0.33,-0.63,0.49,0.26,0.66,0.27037037,0.078
11,0.418,3/12/2020 10:00,0.839904762,0.468,-0.07,-0.09,0,0.81,0.6,0.82,0.861904762,0.164
12,0.398,3/12/2020 11:00,1.084666667,0.468,0.31,0.14,0.61,1.03,0.82,0.89,1.106666667,0.112
13,0.408,3/12/2020 12:00,0.760380952,0.468,0.58,0.28,1.01,1.03,0.85,0.86,0.782380952,-0.063
14,0.388,3/12/2020 13:00,0.19837037,0.404666667,0.57,0.29,0.93,0.82,0.7,0.75,0.22037037,-0.32
15,0.368,3/12/2020 14:00,-0.408521739,0.223555556,0.3,0.12,0.52,0.46,0.36,0.56,-0.386521739,-0.594
16,0.348,3/12/2020 15:00,-0.958818182,0.032444444,-0.05,-0.12,-0.02,0,-0.02,0.34,-0.936818182,-0.816
17,0.338,3/12/2020 16:00,-1.542,0.140380952,-0.43,0,-0.58,-0.39,-0.4,0.14,-1.52,-0.933
18,0.328,3/12/2020 17:00,-1.969333333,0.292285714,-0.77,-0.6,-1.1,-0.65,-0.66,0.02,-1.947333333,-0.914
19,0.328,3/12/2020 18:00,-2.044857143,0.3705,-1.07,-0.78,-1.56,-0.7,-0.76,0.04,-2.022857143,-0.765
20,0.328,3/12/2020 19:00,-1.60075,0.408,-1.21,-0.84,-1.82,-0.53,-0.65,0.14,-1.57875,-0.522
21,0.328,3/12/2020 20:00,-0.931655172,0.434666667,-1.1,-0.76,-1.61,-0.22,-0.38,0.32,-0.909655172,-0.245
22,0.358,3/12/2020 21:00,-0.155333333,0.448,-0.74,-0.55,-1.06,0.21,0,0.51,-0.133333333,-0.002
23,0.388,3/12/2020 22:00,0.572615385,0.458,-0.35,-0.29,-0.4,0.61,0.37,0.7,0.594615385,0.149
24,0.408,3/12/2020 23:00,1.096888889,0.468,0.07,-0.03,0.26,0.88,0.7,0.82,1.118888889,0.173
25,0.408,3/13/2020 0:00,1.128,0.481333333,0.44,0.18,0.84,1.04,0.81,0.87,1.15,0.067
26,0.388,3/13/2020 1:00,0.652285714,0.488,0.63,0.31,1.13,0.99,0.85,0.82,0.674285714,-0.141
27,0.398,3/13/2020 2:00,0.1152,0.405,0.53,0.25,0.9,0.73,0.62,0.69,0.1372,-0.396
28,0.368,3/13/2020 3:00,-0.463304348,0.206888889,0.23,0.06,0.41,0.37,0.29,0.51,-0.441304348,-0.634
29,0.378,3/13/2020 4:00,-1.087,0.053882353,-0.11,-0.16,-0.09,-0.02,-0.06,0.32,-1.065,-0.795
30,0.368,3/13/2020 5:00,-1.509586207,0.213833333,-0.45,-0.4,-0.62,-0.33,-0.38,0.19,-1.487586207,-0.84
31,0.388,3/13/2020 6:00,-1.76075,0.324,-0.76,-0.58,-1.09,-0.48,-0.55,0.13,-1.73875,-0.759
32,0.408,3/13/2020 7:00,-1.511473684,0.378,-0.97,-0.7,-1.42,-0.46,-0.54,0.19,-1.489473684,-0.574
33,0.438,3/13/2020 8:00,-0.955214286,0.408,-0.96,-0.69,-1.45,-0.25,-0.36,0.34,-0.933214286,-0.335
34,0.448,3/13/2020 9:00,-0.278071429,0.431333333,-0.72,-0.53,-1.04,0.12,-0.06,0.51,-0.256071429,-0.102
35,0.478,3/13/2020 10:00,0.378,0.443,-0.36,-0.31,-0.46,0.46,0.29,0.68,0.4,0.063
36,0.478,3/13/2020 11:00,0.847333333,0.448,0.02,-0.06,0.14,0.77,0.58,0.79,0.869333333,0.119
37,0.468,3/13/2020 12:00,0.919,0.448,0.34,0.14,0.66,0.92,0.75,0.85,0.941,0.049
38,0.458,3/13/2020 13:00,0.542761905,0.454666667,0.54,0.25,0.93,0.91,0.77,0.8,0.564761905,-0.128
39,0.438,3/13/2020 14:00,0.002347826,0.458,0.46,0.21,0.77,0.69,0.58,0.69,0.024347826,-0.371
40,0.428,3/13/2020 15:00,-0.57075,0.458,0.2,0.03,0.34,0.34,0.26,0.49,-0.54875,-0.619
41,0.428,3/13/2020 16:00,-1.125809524,0.458,-0.15,-0.2,-0.17,-0.06,-0.1,0.29,-1.103809524,-0.811
42,0.428,3/13/2020 17:00,-1.469666667,0.2155,-0.52,-0.43,-0.7,-0.42,-0.44,0.12,-1.447666667,-0.901
43,0.448,3/13/2020 18:00,-2.017641026,0.194086957,-0.84,-0.65,-1.18,-0.66,-0.67,0.02,-1.995641026,-0.865
44,0.438,3/13/2020 19:00,-2.052555556,0.340857143,-1.11,-0.79,-1.62,-0.7,-0.75,0.04,-2.030555556,-0.714
45,0.448,3/13/2020 20:00,-1.617714286,0.418,-1.22,-0.86,-1.83,-0.56,-0.67,0.14,-1.595714286,-0.485
46,0.488,3/13/2020 21:00,-1.017769231,0.443,-1.1,-0.78,-1.59,-0.27,-0.42,0.26,-0.995769231,-0.233
47,0.518,3/13/2020 22:00,-0.332357143,0.458,-0.8,-0.59,-1.1,0.13,-0.08,0.46,-0.310357143,-0.018
48,0.528,3/13/2020 23:00,0.319153846,0.4455,-0.43,-0.36,-0.53,0.48,0.25,0.6,0.341153846,0.109
49,0.518,3/14/2020 0:00,0.739818182,0.468,-0.06,-0.12,0.07,0.72,0.51,0.7,0.761818182,0.119
50,0.508,3/14/2020 1:00,0.688,0.473,0.25,0.04,0.58,0.82,0.65,0.73,0.71,0.014
51,0.488,3/14/2020 2:00,0.258,0.431333333,0.4,0.15,0.78,0.75,0.6,0.68,0.28,-0.176
52,0.478,3/14/2020 3:00,-0.2072,0.2805,0.28,0.05,0.52,0.5,0.38,0.54,-0.1852,-0.402
53,0.468,3/14/2020 4:00,-0.744777778,0.100222222,-0.02,-0.13,0.06,0.16,0.06,0.37,-0.722777778,-0.607
54,0.478,3/14/2020 5:00,-1.327,0.118434783,-0.32,-0.34,-0.42,-0.21,-0.25,0.19,-1.305,-0.74
55,0.478,3/14/2020 6:00,-1.743538462,0.28175,-0.64,-0.56,-0.88,-0.49,-0.51,0.07,-1.721538462,-0.767
56,0.508,3/14/2020 7:00,-1.904222222,0.364666667,-0.93,-0.73,-1.31,-0.6,-0.65,0.04,-1.882222222,-0.686
57,0.518,3/14/2020 8:00,-1.633176471,0.388,-1.12,-0.82,-1.62,-0.54,-0.67,0.07,-1.611176471,-0.518
58,0.528,3/14/2020 9:00,-1.152,0.404666667,-1.1,-0.8,-1.56,-0.36,-0.5,0.18,-1.13,-0.307
59,0.538,3/14/2020 10:00,-0.567833333,0.418,-0.87,-0.68,-1.2,-0.07,-0.24,0.34,-0.545833333,-0.11
60,0.548,3/14/2020 11:00,-0.015333333,0.434666667,-0.56,-0.47,-0.7,0.25,0.06,0.47,0.006666667,0.023
61,0.558,3/14/2020 12:00,0.363454545,0.438,-0.24,0,-0.16,0.49,0.28,0.58,0.385454545,0.058
62,0.538,3/14/2020 13:00,0.363,0.443,0.03,0.77,0.25,0.58,0.43,0.62,0.385,-0.017
63,0.538,3/14/2020 14:00,0.021793103,0.448,0.16,0.77,0.48,0.53,0.4,0.56,0.043793103,-0.183
