index,well,date,tide,hw,gate
1,0.014,11/10/2007 8:00,0.09,0.585,-1.52
2,0.014,11/10/2007 9:00,0.462,0.583,-1.52
3,0.014,11/10/2007 10:00,0.6825,0.581,-1.52
4,0.054,11/10/2007 11:00,0.5495,0.5815,-1.52
5,0.114,11/10/2007 12:00,0.203,0.5805,-1.52
6,0.144,11/10/2007 13:00,-0.144,0.581,-1.52
7,0.174,11/10/2007 14:00,-0.4515,0.5785,-1.52
8,0.204,11/10/2007 15:00,-0.6945,0.578,-1.52
9,0.214,11/10/2007 16:00,-0.8855,0.5735,-1.52
10,0.144,11/10/2007 17:00,-0.8225,0.568,-1.52
11,0.094,11/10/2007 18:00,-0.5145,0.5655,-1.52
12,0.024,11/10/2007 19:00,-0.1445,0.558,-1.52
13,0.014,11/10/2007 20:00,0.187,0.558,-1.52
14,0.014,11/10/2007 21:00,0.461,0.558,-1.52
15,0.014,11/10/2007 22:00,0.575,0.558,-1.52
16,0.084,11/10/2007 23:00,0.3715,0.5585,-1.52
17,0.114,11/11/2007 0:00,0.042,0.561,-1.52
18,0.144,11/11/2007 1:00,-0.293,0.5675,-1.52
19,0.174,11/11/2007 2:00,-0.607,0.568,-1.52
20,0.194,11/11/2007 3:00,-0.884,0.5655,-1.52
21,0.174,11/11/2007 4:00,-1.1135,0.558,-1.52
22,0.104,11/11/2007 5:00,-1.1975,0.5555,-1.52
23,0.034,11/11/2007 6:00,-0.9285,0.548,-1.52
24,-0.006,11/11/2007 7:00,-0.584,0.543,-1.52
25,-0.026,11/11/2007 8:00,-0.1525,0.5385,-1.52
26,-0.026,11/11/2007 9:00,0.2555,0.531,-1.52
27,-0.026,11/11/2007 10:00,0.570315789,0.524842105,-1.52
28,-0.026,11/11/2007 11:00,0.695052632,0.524315789,-1.52
29,0.034,11/11/2007 12:00,0.448285714,0.521571429,-1.52
30,0.094,11/11/2007 13:00,0.109,0.521,-1.52
31,0.124,11/11/2007 14:00,-0.223894737,0.523263158,-1.52
32,0.134,11/11/2007 15:00,-0.482,0.5245,-1.52
33,0.154,11/11/2007 16:00,-0.704,0.521,-1.52
34,0.154,11/11/2007 17:00,-0.814,0.5185,-1.52
35,0.104,11/11/2007 18:00,-0.649,0.518,-1.52
36,0.024,11/11/2007 19:00,-0.361789474,0.514842105,-1.52
37,-0.016,11/11/2007 20:00,-0.011,0.509,-1.52
38,-0.026,11/11/2007 21:00,0.368,0.508,-1.52
39,-0.026,11/11/2007 22:00,0.6975,0.501,-1.52
40,0.014,11/11/2007 23:00,0.7885,0.5065,-1.52
41,0.074,11/12/2007 0:00,0.535,0.5085,-1.52
42,0.114,11/12/2007 1:00,0.2065,0.5155,-1.52
43,0.134,11/12/2007 2:00,-0.1405,0.518,-1.52
44,0.164,11/12/2007 3:00,-0.4575,0.521,-1.52
45,0.184,11/12/2007 4:00,-0.693,0.5205,-1.52
46,0.194,11/12/2007 5:00,-0.915,0.5205,-1.52
47,0.124,11/12/2007 6:00,-0.983,0.5185,-1.52
48,0.064,11/12/2007 7:00,-0.733,0.5175,-1.52
49,-0.006,11/12/2007 8:00,-0.353,0.5045,-1.52
50,-0.026,11/12/2007 9:00,0.0445,0.4975,-1.52
51,-0.026,11/12/2007 10:00,0.3795,0.488,-1.52
52,-0.026,11/12/2007 11:00,0.587,0.4825,-1.52
53,-0.006,11/12/2007 12:00,0.5015,0.4855,-1.52
54,0.054,11/12/2007 13:00,0.198,0.4815,-1.52
55,0.104,11/12/2007 14:00,-0.139,0.4835,-1.52
56,0.124,11/12/2007 15:00,-0.4365,0.4825,-1.52
57,0.134,11/12/2007 16:00,-0.6745,0.4815,-1.52
