index,date,well,tide,hw
1,10/28/2012 0:00,0.464,0.198347826,0.343652174
2,10/28/2012 1:00,0.464,-0.1165,0.108
3,10/28/2012 2:00,0.474,-0.364,-0.113
4,10/28/2012 3:00,0.474,-0.417,-0.2255
5,10/28/2012 4:00,0.474,-0.060583333,-0.036166667
6,10/28/2012 5:00,0.474,0.476,0.0755
7,10/28/2012 6:00,0.474,1.0265,0.148
8,10/28/2012 7:00,0.464,1.487,0.209
9,10/28/2012 8:00,0.464,1.7945,0.26
10,10/28/2012 9:00,0.464,1.8215,0.2985
11,10/28/2012 10:00,0.464,1.4735,0.338
12,10/28/2012 11:00,0.474,0.968,0.381
13,10/28/2012 12:00,0.474,0.5155,0.412
14,10/28/2012 13:00,0.474,0.153565217,0.359304348
15,10/28/2012 14:00,0.474,-0.155,0.1025
16,10/28/2012 15:00,0.474,-0.3475,-0.099
17,10/28/2012 16:00,0.474,-0.214,-0.089
18,10/28/2012 17:00,0.474,0.232695652,0.085826087
19,10/28/2012 18:00,0.474,0.862,0.1495
20,10/28/2012 19:00,0.474,1.359,0.2015
21,10/28/2012 20:00,0.474,1.6905,0.2415
22,10/28/2012 21:00,0.474,1.7325,0.276
23,10/28/2012 22:00,0.474,1.41,0.3045
24,10/28/2012 23:00,0.474,0.957,0.329
25,10/29/2012 0:00,0.474,0.5615,0.3515
26,10/29/2012 1:00,0.474,0.21226087,0.364086957
27,10/29/2012 2:00,0.474,-0.093142857,0.140380952
28,10/29/2012 3:00,0.474,-0.334,-0.0815
29,10/29/2012 4:00,0.474,-0.2475,-0.1015
30,10/29/2012 5:00,0.474,0.1072,0.0896
31,10/29/2012 6:00,0.474,0.599,0.161
32,10/29/2012 7:00,0.474,1.1,0.2175
33,10/29/2012 8:00,0.474,1.4925,0.263
34,10/29/2012 9:00,0.474,1.762,0.298
35,10/29/2012 10:00,0.474,1.6665,0.3265
36,10/29/2012 11:00,0.474,1.26,0.355
37,10/29/2012 12:00,0.474,0.8705,0.3705
38,10/29/2012 13:00,0.474,0.5245,0.386
39,10/29/2012 14:00,0.474,0.214416667,0.377583333
40,10/29/2012 15:00,0.474,-0.0345,0.183
41,10/29/2012 16:00,0.474,-0.075473684,0.101157895
42,10/29/2012 17:00,0.474,0.2664,0.242
43,10/29/2012 18:00,0.474,0.7805,0.2875
44,10/29/2012 19:00,0.474,1.231,0.3185
45,10/29/2012 20:00,0.474,1.587,0.3385
46,10/29/2012 21:00,0.474,1.779,0.36
47,10/29/2012 22:00,0.474,1.6405,0.3785
48,10/29/2012 23:00,0.474,1.243,0.3935
49,10/30/2012 0:00,0.474,0.8615,0.4085
50,10/30/2012 1:00,0.474,0.4905,0.423
51,10/30/2012 2:00,0.474,0.174,0.37925
52,10/30/2012 3:00,0.474,-0.1415,0.1185
53,10/30/2012 4:00,0.474,-0.3085,-0.0715
54,10/30/2012 5:00,0.474,-0.124,-0.0025
55,10/30/2012 6:00,0.474,0.2668,0.1624
56,10/30/2012 7:00,0.474,0.7945,0.2295
57,10/30/2012 8:00,0.474,1.2905,0.268
58,10/30/2012 9:00,0.474,1.619263158,0.303789474
59,10/30/2012 10:00,0.474,1.685,0.331
60,10/30/2012 11:00,0.474,1.386,0.353
61,10/30/2012 12:00,0.474,0.917,0.378
62,10/30/2012 13:00,0.474,0.479789474,0.401157895
63,10/30/2012 14:00,0.474,0.088583333,0.313
64,10/30/2012 15:00,0.474,-0.226,0.0425
65,10/30/2012 16:00,0.474,-0.510230769,0.022230769
66,10/30/2012 17:00,0.474,-0.4685,0.2055
67,10/30/2012 18:00,0.474,-0.0545,0.239
