index,well,date,tide,hw
1,0.978,10/27/2012 0:00,-0.1325,0.293
2,0.978,10/27/2012 1:00,-0.25,0.164
3,0.988,10/27/2012 2:00,-0.1275,0.196
4,0.988,10/27/2012 3:00,0.204,0.4135
5,0.988,10/27/2012 4:00,0.6345,0.72
6,0.988,10/27/2012 5:00,1.104666667,1.111571429
7,0.988,10/27/2012 6:00,1.5105,1.3365
8,0.988,10/27/2012 7:00,1.6775,1.4335
9,0.988,10/27/2012 8:00,1.32837037,1.502074074
10,0.988,10/27/2012 9:00,1.017117647,1.314176471
11,0.988,10/27/2012 10:00,0.712545455,1.004363636
12,0.998,10/27/2012 11:00,0.343,0.7
13,0.998,10/27/2012 12:00,0.0155,0.4295
14,0.998,10/27/2012 13:00,-0.153,0.2505
15,0.998,10/27/2012 14:00,-0.0635,0.2595
16,0.998,10/27/2012 15:00,0.1995,0.427
17,0.998,10/27/2012 16:00,0.5705,0.6815
18,0.998,10/27/2012 17:00,1.09752381,1.093
19,0.998,10/27/2012 18:00,1.6045,1.3035
20,0.998,10/27/2012 19:00,1.886,1.3965
21,0.998,10/27/2012 20:00,1.688,1.4585
22,0.988,10/27/2012 21:00,1.202375,1.44925
23,0.988,10/27/2012 22:00,0.902285714,1.193357143
24,0.988,10/27/2012 23:00,0.4965,0.821
25,0.968,10/28/2012 0:00,0.1535,0.545
26,0.968,10/28/2012 1:00,-0.0415,0.352
27,0.968,10/28/2012 2:00,-0.037,0.2905
28,0.968,10/28/2012 3:00,0.232,0.444
29,0.968,10/28/2012 4:00,0.633,0.721
30,0.968,10/28/2012 5:00,1.15225,1.1375
31,0.968,10/28/2012 6:00,1.689818182,1.309818182
32,0.968,10/28/2012 7:00,2.095,1.402
33,0.968,10/28/2012 8:00,2.148,1.468
34,0.968,10/28/2012 9:00,1.773,1.5305
35,0.968,10/28/2012 10:00,1.272,1.518333333
36,0.968,10/28/2012 11:00,1.020222222,1.319481481
37,0.968,10/28/2012 12:00,0.710692308,0.991076923
38,0.968,10/28/2012 13:00,0.348,0.657
39,0.968,10/28/2012 14:00,0.1825,0.48
40,0.968,10/28/2012 15:00,0.2795,0.501
41,0.978,10/28/2012 16:00,0.61,0.7185
42,0.978,10/28/2012 17:00,1.106055556,1.115777778
43,0.978,10/28/2012 18:00,1.510608696,1.317565217
44,0.978,10/28/2012 19:00,1.904,1.423
45,0.968,10/28/2012 20:00,1.9705,1.4735
46,0.968,10/28/2012 21:00,1.667,1.5205
47,0.968,10/28/2012 22:00,1.189515152,1.469212121
48,0.968,10/28/2012 23:00,0.889785714,1.185857143
49,0.968,10/29/2012 0:00,0.4915,0.8225
50,0.968,10/29/2012 1:00,0.1545,0.5445
51,0.968,10/29/2012 2:00,-0.0135,0.367
52,0.968,10/29/2012 3:00,0.0425,0.34
53,0.968,10/29/2012 4:00,0.3435,0.5275
54,0.968,10/29/2012 5:00,0.733,0.808
55,0.968,10/29/2012 6:00,1.154666667,1.154388889
56,0.968,10/29/2012 7:00,1.646,1.342
57,0.968,10/29/2012 8:00,1.958,1.425647059
58,0.968,10/29/2012 9:00,1.9195,1.5075
59,0.968,10/29/2012 10:00,1.469818182,1.561181818
60,0.968,10/29/2012 11:00,1.119290323,1.418322581
61,0.978,10/29/2012 12:00,0.79,1.076
62,0.978,10/29/2012 13:00,0.254451613,1.026064516
63,0.978,10/29/2012 14:00,0.0235,1.43
64,0.978,10/29/2012 15:00,0.087,1.545
65,0.978,10/29/2012 16:00,0.506,1.575
66,0.978,10/29/2012 17:00,0.952,1.6025
67,0.978,10/29/2012 18:00,1.406,1.6195
68,0.978,10/29/2012 19:00,1.8095,1.6455
69,0.978,10/29/2012 20:00,1.9965,1.665
70,0.978,10/29/2012 21:00,1.8905,1.685
71,0.978,10/29/2012 22:00,1.4925,1.6895
72,0.978,10/29/2012 23:00,1.0515,1.6915
73,0.978,10/30/2012 0:00,0.539,1.6985
74,0.978,10/30/2012 1:00,0.0815,1.704
75,0.978,10/30/2012 2:00,-0.2325,1.7125
76,0.978,10/30/2012 3:00,-0.311,1.7195
77,1.008,10/30/2012 4:00,0.0075,1.727
78,1.008,10/30/2012 5:00,0.4755,1.74
79,1.008,10/30/2012 6:00,0.9095,1.7605
80,1.008,10/30/2012 7:00,1.384,1.7675
81,1.008,10/30/2012 8:00,1.775368421,1.775368421
82,1.008,10/30/2012 9:00,1.912,1.788
83,1.018,10/30/2012 10:00,1.6375,1.8165
84,1.028,10/30/2012 11:00,1.125368421,1.827473684
85,1.028,10/30/2012 12:00,0.701157895,1.832210526
86,1.028,10/30/2012 13:00,0.215,1.847
87,1.028,10/30/2012 14:00,-0.194,1.853
88,1.028,10/30/2012 15:00,-0.4315,1.8645
89,1.028,10/30/2012 16:00,-0.3575,1.8645
90,1.028,10/30/2012 17:00,0.0595,1.856
91,1.028,10/30/2012 18:00,0.5205,1.858
92,1.038,10/30/2012 19:00,0.9485,1.858
93,1.038,10/30/2012 20:00,1.2915,1.858
94,1.038,10/30/2012 21:00,1.427,1.858
95,1.038,10/30/2012 22:00,1.222,1.858
96,1.038,10/30/2012 23:00,0.7975,1.858
97,1.058,10/31/2012 0:00,0.355,1.858
98,1.058,10/31/2012 1:00,-0.12,1.858
99,1.058,10/31/2012 2:00,-0.54,1.858
100,1.058,10/31/2012 3:00,-0.79,1.8665
101,1.058,10/31/2012 4:00,-0.7875,1.868
102,1.058,10/31/2012 5:00,-0.382,1.87
103,1.058,10/31/2012 6:00,0.112,1.8725
104,1.058,10/31/2012 7:00,0.6055,1.878
105,1.068,10/31/2012 8:00,1.097,1.8855
106,1.068,10/31/2012 9:00,1.4345,1.899
107,1.068,10/31/2012 10:00,1.503,1.9105
108,1.078,10/31/2012 11:00,1.1715,1.9245
109,1.078,10/31/2012 12:00,0.716,1.9335
110,1.088,10/31/2012 13:00,0.2915,1.943
111,1.088,10/31/2012 14:00,-0.140333333,1.936333333
112,1.088,10/31/2012 15:00,-0.443,1.9355
113,1.088,10/31/2012 16:00,-0.485,1.934
114,1.088,10/31/2012 17:00,-0.1995,1.935
115,1.088,10/31/2012 18:00,0.2325,1.9355
116,1.088,10/31/2012 19:00,0.613,1.9345
117,1.088,10/31/2012 20:00,1.021,1.933
118,1.088,10/31/2012 21:00,1.286,1.9355
119,1.088,10/31/2012 22:00,1.272,1.9335
120,1.088,10/31/2012 23:00,0.915,1.931
121,1.088,11/1/2012 0:00,0.484,1.9295
122,1.088,11/1/2012 1:00,0.0535,1.93
123,1.088,11/1/2012 2:00,-0.3875,1.93
124,1.088,11/1/2012 3:00,-0.7075,1.9295
125,1.088,11/1/2012 4:00,-0.846,1.9285
126,1.088,11/1/2012 5:00,-0.693,1.9285
127,1.088,11/1/2012 6:00,-0.2215,1.9285
128,1.088,11/1/2012 7:00,0.223,1.928
129,1.088,11/1/2012 8:00,0.6975,1.934
130,1.118,11/1/2012 9:00,1.123,1.9495
131,1.118,11/1/2012 10:00,1.363,1.962
132,1.118,11/1/2012 11:00,1.251,1.97
133,1.118,11/1/2012 12:00,0.8455,1.9775
134,1.118,11/1/2012 13:00,0.662864865,1.616648649
135,1.118,11/1/2012 14:00,0.1805,1.333
136,1.118,11/1/2012 15:00,-0.1835,1.18
137,1.118,11/1/2012 16:00,-0.3885,1.052
138,1.118,11/1/2012 17:00,-0.354,0.967
139,1.118,11/1/2012 18:00,-0.053,0.9865
140,1.118,11/1/2012 19:00,0.3045,1.0735
141,1.118,11/1/2012 20:00,0.644,1.182
142,1.118,11/1/2012 21:00,0.952,1.299
143,1.118,11/1/2012 22:00,1.1055,1.381
144,1.118,11/1/2012 23:00,0.9625,1.376
145,1.118,11/2/2012 0:00,0.604,1.2805
146,1.118,11/2/2012 1:00,0.2435,1.1535
147,1.118,11/2/2012 2:00,-0.1545,1.0015
148,1.118,11/2/2012 3:00,-0.5205,0.849
149,1.118,11/2/2012 4:00,-0.7315,0.719
150,1.118,11/2/2012 5:00,-0.7865,0.6565
151,1.118,11/2/2012 6:00,-0.5475,0.6565
152,1.118,11/2/2012 7:00,-0.159,0.742
153,1.118,11/2/2012 8:00,0.223,0.875
154,1.118,11/2/2012 9:00,0.629052632,1.045894737
155,1.128,11/2/2012 10:00,0.9505,1.1985
156,1.128,11/2/2012 11:00,1.0655,1.283
157,1.128,11/2/2012 12:00,0.8495,1.2545
158,1.128,11/2/2012 13:00,0.465,1.1465
159,1.128,11/2/2012 14:00,0.105142857,1.03847619
160,1.128,11/2/2012 15:00,-0.3708,1.1108
161,1.128,11/2/2012 16:00,-0.7205,1.177
162,1.128,11/2/2012 17:00,-0.8465,1.178
163,1.128,11/2/2012 18:00,-0.6775,1.1835
164,1.128,11/2/2012 19:00,-0.285,1.221
165,1.128,11/2/2012 20:00,0.079,1.2675
166,1.128,11/2/2012 21:00,0.4395,1.3205
167,1.128,11/2/2012 22:00,0.7215,1.3675
168,1.128,11/2/2012 23:00,0.766947368,1.386947368
169,1.128,11/3/2012 0:00,0.503,1.388
170,1.128,11/3/2012 1:00,0.136,1.3725
171,1.128,11/3/2012 2:00,-0.231,1.3415
172,1.128,11/3/2012 3:00,-0.631,1.298
173,1.128,11/3/2012 4:00,-0.9715,1.2515
174,1.128,11/3/2012 5:00,-1.153052632,1.231157895
175,1.128,11/3/2012 6:00,-1.1175,1.22
176,1.128,11/3/2012 7:00,-0.762,1.218
177,1.128,11/3/2012 8:00,-0.3405,1.2405
178,1.128,11/3/2012 9:00,0.105,1.296
179,1.128,11/3/2012 10:00,0.5235,1.355
180,1.128,11/3/2012 11:00,0.7975,1.4065
181,1.128,11/3/2012 12:00,0.7865,1.4185
182,1.128,11/3/2012 13:00,0.449,1.41
183,1.128,11/3/2012 14:00,0.09,1.379
184,1.128,11/3/2012 15:00,-0.286,1.34
185,1.128,11/3/2012 16:00,-0.642,1.296
186,1.128,11/3/2012 17:00,-0.8865,1.2605
187,1.128,11/3/2012 18:00,-0.9225,1.2395
188,1.128,11/3/2012 19:00,-0.6625,1.238
189,1.128,11/3/2012 20:00,-0.269,1.2485
190,1.128,11/3/2012 21:00,0.0775,1.2855
191,1.128,11/3/2012 22:00,0.4025,1.3255
192,1.128,11/3/2012 23:00,0.6325,1.3605
193,1.128,11/4/2012 0:00,0.6155,1.37
194,1.128,11/4/2012 1:00,0.339333333,1.424
195,1.128,11/4/2012 2:00,-0.073,1.3475
196,1.128,11/4/2012 3:00,-0.4275,1.31
197,1.128,11/4/2012 4:00,-0.789,1.267
198,1.128,11/4/2012 5:00,-1.0785,1.237
199,1.128,11/4/2012 6:00,-1.219,1.196
200,1.128,11/4/2012 7:00,-1.0705,1.178
201,1.128,11/4/2012 8:00,-0.652,1.1905
202,1.128,11/4/2012 9:00,-0.2555,1.2305
203,1.098,11/4/2012 10:00,0.168,1.281
204,1.098,11/4/2012 11:00,0.523,1.334
205,1.098,11/4/2012 12:00,0.703,1.3655
206,1.098,11/4/2012 13:00,0.611,1.378
207,1.098,11/4/2012 14:00,0.2215,1.3625
208,1.098,11/4/2012 15:00,-0.1035,1.3345
209,1.098,11/4/2012 16:00,-0.424105263,1.291684211
210,1.098,11/4/2012 17:00,-0.7455,1.247
211,1.098,11/4/2012 18:00,-0.929,1.231
212,1.098,11/4/2012 19:00,-0.905,1.215
213,1.098,11/4/2012 20:00,-0.5825,1.208
214,1.098,11/4/2012 21:00,-0.2425,1.2245
215,1.098,11/4/2012 22:00,0.0835,1.261
216,1.098,11/4/2012 23:00,0.38,1.3035
217,1.098,11/5/2012 0:00,0.566,1.335
218,1.098,11/5/2012 1:00,0.468,1.348
219,1.098,11/5/2012 2:00,0.1315,1.34
220,1.098,11/5/2012 3:00,-0.193,1.3135
221,1.098,11/5/2012 4:00,-0.535,1.274
222,1.098,11/5/2012 5:00,-0.8785,1.235
223,1.098,11/5/2012 6:00,-1.1205,1.206
224,1.098,11/5/2012 7:00,-1.187,1.1745
225,1.098,11/5/2012 8:00,-0.929,1.168
226,1.098,11/5/2012 9:00,-0.5595,1.182
227,1.098,11/5/2012 10:00,-0.163052632,1.222736842
