index,well,date,tide
1,0.212,2/18/2011 0:00,-1.141333333
2,0.212,2/18/2011 1:00,-1.618
3,0.212,2/18/2011 2:00,-2.088
4,0.212,2/18/2011 3:00,-2.288
5,0.212,2/18/2011 4:00,-2.113
6,0.222,2/18/2011 5:00,-1.664666667
7,0.212,2/18/2011 6:00,-1.0755
8,0.212,2/18/2011 7:00,-0.3905
9,0.212,2/18/2011 8:00,0.198666667
10,0.212,2/18/2011 9:00,0.432
11,0.212,2/18/2011 10:00,0.168666667
12,0.212,2/18/2011 11:00,-0.351333333
13,0.202,2/18/2011 12:00,-0.884666667
14,0.202,2/18/2011 13:00,-1.408
15,0.202,2/18/2011 14:00,-1.884666667
16,0.202,2/18/2011 15:00,-2.253
17,0.202,2/18/2011 16:00,-2.368
18,0.202,2/18/2011 17:00,-2.0205
19,0.202,2/18/2011 18:00,-1.451333333
20,0.202,2/18/2011 19:00,-0.8555
21,0.202,2/18/2011 20:00,-0.203
22,0.202,2/18/2011 21:00,0.182
23,0.202,2/18/2011 22:00,0.122
24,0.202,2/18/2011 23:00,-0.3405
25,0.202,2/19/2011 0:00,-0.921333333
26,0.202,2/19/2011 1:00,-1.431333333
27,0.202,2/19/2011 2:00,-1.908
28,0.202,2/19/2011 3:00,-2.384666667
29,0.202,2/19/2011 4:00,-2.568
30,0.202,2/19/2011 5:00,-2.383
31,0.202,2/19/2011 6:00,-1.873
32,0.202,2/19/2011 7:00,-1.188
33,0.202,2/19/2011 8:00,-0.548
34,0.202,2/19/2011 9:00,-0.021333333
35,0.202,2/19/2011 10:00,0.082
36,0.202,2/19/2011 11:00,-0.234666667
37,0.202,2/19/2011 12:00,-0.771333333
38,0.202,2/19/2011 13:00,-1.308
39,0.202,2/19/2011 14:00,-1.841333333
40,0.192,2/19/2011 15:00,-2.328
41,0.192,2/19/2011 16:00,-2.628
42,0.192,2/19/2011 17:00,-2.493
43,0.192,2/19/2011 18:00,-2.098
44,0.192,2/19/2011 19:00,-1.468
45,0.192,2/19/2011 20:00,-0.831333333
46,0.192,2/19/2011 21:00,-0.213
47,0.192,2/19/2011 22:00,0.202
48,0.192,2/19/2011 23:00,0.187
49,0.192,2/20/2011 0:00,-0.308
50,0.192,2/20/2011 1:00,-0.901333333
51,0.192,2/20/2011 2:00,-1.398
52,0.192,2/20/2011 3:00,-1.868
53,0.192,2/20/2011 4:00,-2.258
54,0.192,2/20/2011 5:00,-2.443
55,0.192,2/20/2011 6:00,-2.144666667
56,0.192,2/20/2011 7:00,-1.638
57,0.192,2/20/2011 8:00,-1.0305
58,0.192,2/20/2011 9:00,-0.3505
59,0.192,2/20/2011 10:00,0.157
60,0.192,2/20/2011 11:00,0.237
61,0.192,2/20/2011 12:00,-0.144666667
62,0.192,2/20/2011 13:00,-0.654666667
63,0.192,2/20/2011 14:00,-1.224666667
64,0.192,2/20/2011 15:00,-1.704666667
65,0.192,2/20/2011 16:00,-2.204666667
66,0.192,2/20/2011 17:00,-2.508
67,0.192,2/20/2011 18:00,-2.433
68,0.192,2/20/2011 19:00,-1.908
69,0.192,2/20/2011 20:00,-1.2605
70,0.192,2/20/2011 21:00,-0.641333333
71,0.192,2/20/2011 22:00,-0.018
72,0.192,2/20/2011 23:00,0.362
73,0.192,2/21/2011 0:00,0.212
74,0.192,2/21/2011 1:00,-0.3155
75,0.192,2/21/2011 2:00,-0.911333333
76,0.192,2/21/2011 3:00,-1.394666667
77,0.192,2/21/2011 4:00,-1.848
78,0.192,2/21/2011 5:00,-2.158
79,0.192,2/21/2011 6:00,-2.223
80,0.192,2/21/2011 7:00,-1.834666667
81,0.192,2/21/2011 8:00,-1.2555
82,0.192,2/21/2011 9:00,-0.691333333
83,0.192,2/21/2011 10:00,-0.0955
84,0.192,2/21/2011 11:00,0.292
85,0.192,2/21/2011 12:00,0.137
86,0.192,2/21/2011 13:00,-0.251333333
87,0.192,2/21/2011 14:00,-0.838
88,0.192,2/21/2011 15:00,-1.384666667
89,0.192,2/21/2011 16:00,-1.901333333
90,0.192,2/21/2011 17:00,-2.273
91,0.192,2/21/2011 18:00,-2.493
92,0.192,2/21/2011 19:00,-2.303
93,0.192,2/21/2011 20:00,-1.881333333
94,0.192,2/21/2011 21:00,-1.3055
95,0.192,2/21/2011 22:00,-0.588
96,0.192,2/21/2011 23:00,-0.004666667
