index,well,date,tide,
1,0.782,2/1/2017 0:00,0.002,
2,0.782,2/1/2017 1:00,-0.133,
3,0.782,2/1/2017 2:00,-0.541333333,
4,0.782,2/1/2017 3:00,-1.078,
5,0.782,2/1/2017 4:00,-1.598,
6,0.782,2/1/2017 5:00,-1.953,
7,0.772,2/1/2017 6:00,-2.178,
8,0.772,2/1/2017 7:00,-2.203,
9,0.772,2/1/2017 8:00,-1.841333333,
10,0.762,2/1/2017 9:00,-1.354666667,
11,0.762,2/1/2017 10:00,-0.858,
12,0.762,2/1/2017 11:00,-0.298,
13,0.762,2/1/2017 12:00,0.082,
14,0.752,2/1/2017 13:00,0.102,
15,0.752,2/1/2017 14:00,-0.264666667,
16,0.752,2/1/2017 15:00,-0.754666667,
17,0.742,2/1/2017 16:00,-1.238,
18,0.742,2/1/2017 17:00,-1.688,
19,0.742,2/1/2017 18:00,-2.078,
20,0.732,2/1/2017 19:00,-2.248,
21,0.732,2/1/2017 20:00,-2.063,
22,0.732,2/1/2017 21:00,-1.688,
23,0.732,2/1/2017 22:00,-1.1405,
24,0.732,2/1/2017 23:00,-0.591333333,
25,0.732,2/2/2017 0:00,-0.198,
26,0.732,2/2/2017 1:00,-0.008,
27,0.732,2/2/2017 2:00,-0.244666667,
28,0.732,2/2/2017 3:00,-0.711333333,
29,0.732,2/2/2017 4:00,-1.191333333,
30,0.732,2/2/2017 5:00,-1.558,
31,0.732,2/2/2017 6:00,-1.873,
32,0.722,2/2/2017 7:00,-2.098,
33,0.722,2/2/2017 8:00,-2.013,
34,0.722,2/2/2017 9:00,-1.658,
35,0.722,2/2/2017 10:00,-1.178,
36,0.712,2/2/2017 11:00,-0.698,
37,0.712,2/2/2017 12:00,-0.191333333,
38,0.712,2/2/2017 13:00,0.092,
39,0.712,2/2/2017 14:00,-0.088,
40,0.712,2/2/2017 15:00,-0.454666667,
41,0.712,2/2/2017 16:00,-0.911333333,
42,0.712,2/2/2017 17:00,-1.398,
43,0.702,2/2/2017 18:00,-1.828,
44,0.702,2/2/2017 19:00,-2.163,
45,0.702,2/2/2017 20:00,-2.258,
46,0.702,2/2/2017 21:00,-1.994666667,
47,0.702,2/2/2017 22:00,-1.558,
48,0.702,2/2/2017 23:00,-1.081333333,
