index,well,date,tide,hw
1,1.215,11/2/2007 0:00,0.865833333,1.335
2,1.245,11/2/2007 1:00,1.2175,1.358333333
3,1.265,11/2/2007 2:00,1.418333333,1.380833333
4,1.285,11/2/2007 3:00,1.426666667,1.401666667
5,1.305,11/2/2007 4:00,1.1675,1.420833333
6,1.325,11/2/2007 5:00,0.808333333,1.440833333
7,1.345,11/2/2007 6:00,0.431363636,1.460454545
8,1.355,11/2/2007 7:00,0.067727273,1.478636364
9,1.375,11/2/2007 8:00,-0.2625,1.495833333
10,1.385,11/2/2007 9:00,-0.423181818,1.509545455
11,1.415,11/2/2007 10:00,-0.275,1.525909091
12,1.435,11/2/2007 11:00,0.110454545,1.541363636
13,1.445,11/2/2007 12:00,0.524090909,1.554090909
14,1.465,11/2/2007 13:00,0.940833333,1.565833333
15,1.485,11/2/2007 14:00,1.275,1.580454545
16,1.495,11/2/2007 15:00,1.411666667,1.595
17,1.505,11/2/2007 16:00,1.318333333,1.603333333
18,1.515,11/2/2007 17:00,1.046666667,1.6175
19,1.525,11/2/2007 18:00,0.724166667,1.628333333
20,1.535,11/2/2007 19:00,0.355,1.640833333
21,1.555,11/2/2007 20:00,0.035,1.650454545
22,1.565,11/2/2007 21:00,-0.203181818,1.659545455
23,1.585,11/2/2007 22:00,-0.273333333,1.669166667
24,1.595,11/2/2007 23:00,-0.023333333,1.678333333
25,1.615,11/3/2007 0:00,0.314166667,1.69
26,1.625,11/3/2007 1:00,0.683333333,1.698333333
27,1.635,11/3/2007 2:00,1.025,1.708333333
28,1.645,11/3/2007 3:00,1.274166667,1.715
29,1.655,11/3/2007 4:00,1.305833333,1.723333333
30,1.655,11/3/2007 5:00,1.1175,1.725
31,1.665,11/3/2007 6:00,0.829166667,1.735
32,1.665,11/3/2007 7:00,0.453333333,1.7375
33,1.665,11/3/2007 8:00,0.108333333,1.745833333
34,1.685,11/3/2007 9:00,-0.206666667,1.755
35,1.685,11/3/2007 10:00,-0.3275,1.760833333
36,1.695,11/3/2007 11:00,-0.18,1.768333333
37,1.705,11/3/2007 12:00,0.2125,1.774166667
38,1.725,11/3/2007 13:00,0.592272727,1.775
39,1.735,11/3/2007 14:00,1.000833333,1.78
40,1.735,11/3/2007 15:00,1.310833333,1.786666667
41,1.745,11/3/2007 16:00,1.454166667,1.795
42,1.755,11/3/2007 17:00,1.390833333,1.800833333
43,1.755,11/3/2007 18:00,1.113333333,1.806666667
44,1.765,11/3/2007 19:00,0.7175,1.815
45,1.765,11/3/2007 20:00,0.341666667,1.815
46,1.775,11/3/2007 21:00,-0.039166667,1.823333333
47,1.775,11/3/2007 22:00,-0.37,1.826666667
48,1.785,11/3/2007 23:00,-0.4575,1.834166667
49,1.785,11/4/2007 0:00,-0.205833333,1.835
50,1.795,11/4/2007 1:00,0.14,1.839166667
51,1.795,11/4/2007 2:00,0.546666667,1.845
52,1.805,11/4/2007 3:00,0.899166667,1.845
53,1.805,11/4/2007 4:00,1.134166667,1.846666667
54,1.805,11/4/2007 5:00,1.173333333,1.854166667
55,1.805,11/4/2007 6:00,0.981363636,1.855
56,1.805,11/4/2007 7:00,0.678636364,1.855
57,1.815,11/4/2007 8:00,0.339166667,1.858333333
58,1.815,11/4/2007 9:00,-0.005833333,1.864166667
59,1.825,11/4/2007 10:00,-0.286666667,1.865
60,1.825,11/4/2007 11:00,-0.4075,1.865
61,1.835,11/4/2007 12:00,-0.27,1.866666667
62,1.835,11/4/2007 13:00,0.0975,1.873333333
63,1.835,11/4/2007 14:00,0.4775,1.874166667
64,1.835,11/4/2007 15:00,0.879166667,1.875
65,1.845,11/4/2007 16:00,1.203333333,1.8825
66,1.845,11/4/2007 17:00,1.385,1.884166667
67,1.845,11/4/2007 18:00,1.325909091,1.885
68,1.855,11/4/2007 19:00,0.976666667,1.885
69,1.855,11/4/2007 20:00,0.579166667,1.890833333
70,1.865,11/4/2007 21:00,0.1725,1.895
71,1.865,11/4/2007 22:00,-0.198333333,1.895
72,1.865,11/4/2007 23:00,-0.45,1.895833333
73,1.865,11/5/2007 0:00,-0.509166667,1.9025
74,1.875,11/5/2007 1:00,-0.168333333,1.905
75,1.875,11/5/2007 2:00,0.278636364,1.905
76,1.885,11/5/2007 3:00,0.7125,1.905
77,1.885,11/5/2007 4:00,1.144166667,1.905
78,1.885,11/5/2007 5:00,1.395,1.905
79,1.885,11/5/2007 6:00,1.404166667,1.905833333
80,1.885,11/5/2007 7:00,1.159166667,1.915
81,1.885,11/5/2007 8:00,0.814090909,1.915
82,1.885,11/5/2007 9:00,0.449166667,1.915
83,1.885,11/5/2007 10:00,0.065714286,1.787857143
84,1.885,11/5/2007 11:00,-0.315,1.516666667
85,1.865,11/5/2007 12:00,-0.420833333,1.338333333
86,1.765,11/5/2007 13:00,-0.205833333,1.22
87,1.655,11/5/2007 14:00,0.199166667,1.170833333
88,1.565,11/5/2007 15:00,0.599545455,1.161363636
89,1.485,11/5/2007 16:00,1.080625,1.229375
90,1.425,11/5/2007 17:00,1.440833333,1.305
