index,well,date,tide,hw,,
1,0.915,2/25/2016 1:00,-0.987857143,0.885,,
2,0.915,2/25/2016 2:00,-1.426875,0.885,,
3,0.925,2/25/2016 3:00,-1.728333333,0.895,,
4,0.925,2/25/2016 4:00,-1.87,0.898333333,,
5,0.925,2/25/2016 5:00,-1.575434783,0.905,,
6,0.935,2/25/2016 6:00,-1.107352941,0.895,,
7,0.935,2/25/2016 7:00,-0.684444444,0.895,,
8,0.935,2/25/2016 8:00,-0.245,0.905,,
9,0.935,2/25/2016 9:00,0.128636364,0.905,,
10,0.945,2/25/2016 10:00,0.201666667,0.91,,
11,0.945,2/25/2016 11:00,-0.064473684,0.921666667,,
12,0.945,2/25/2016 12:00,-0.4825,0.93,,
13,0.945,2/25/2016 13:00,-0.867307692,0.925,,
14,0.945,2/25/2016 14:00,-1.216875,0.925,,
15,0.945,2/25/2016 15:00,-1.556666667,0.925,,
16,0.945,2/25/2016 16:00,-1.721,0.915,,
17,0.945,2/25/2016 17:00,-1.527631579,0.915,,
18,0.945,2/25/2016 18:00,-1.070263158,0.905,,
19,0.945,2/25/2016 19:00,-0.627,0.905,,
20,0.945,2/25/2016 20:00,-0.158157895,0.905,,
21,0.945,2/25/2016 21:00,0.193333333,0.905,,
22,0.945,2/25/2016 22:00,0.313,0.915,,
23,0.945,2/25/2016 23:00,0.102857143,0.915,,
24,0.945,2/26/2016 0:00,-0.289444444,0.91,,
25,0.945,2/26/2016 1:00,-0.685,0.895,,
26,0.945,2/26/2016 2:00,-1.123421053,0.881666667,,
27,0.945,2/26/2016 3:00,-1.492857143,0.858333333,,
28,0.935,2/26/2016 4:00,-1.752272727,0.85,,
29,0.925,2/26/2016 5:00,-1.772777778,0.838333333,,
30,0.925,2/26/2016 6:00,-1.457105263,0.83,,
31,0.905,2/26/2016 7:00,-1.043666667,0.84,,
32,0.905,2/26/2016 8:00,-0.614,0.845,,
33,0.905,2/26/2016 9:00,-0.160882353,0.858333333,,
34,0.915,2/26/2016 10:00,0.126111111,0.87,,
35,0.915,2/26/2016 11:00,0.064444444,0.875,,
36,0.915,2/26/2016 12:00,-0.333571429,0.875,,
37,0.915,2/26/2016 13:00,-0.704285714,0.875,,
38,0.915,2/26/2016 14:00,-1.071428571,0.875,,
39,0.915,2/26/2016 15:00,-1.409,0.865,,
40,0.915,2/26/2016 16:00,-1.657222222,0.865,,
41,0.915,2/26/2016 17:00,-1.7125,0.86,,
42,0.915,2/26/2016 18:00,-1.415,0.855,,
43,0.915,2/26/2016 19:00,-0.992222222,0.855,,
44,0.915,2/26/2016 20:00,-0.583333333,0.855,,
45,0.915,2/26/2016 21:00,-0.187142857,0.87,,
46,0.915,2/26/2016 22:00,0.071666667,0.875,,
47,0.915,2/26/2016 23:00,0.106666667,0.87,,
48,0.915,2/27/2016 0:00,-0.135,0.865,,
49,0.915,2/27/2016 1:00,-0.525,0.865,,
50,0.915,2/27/2016 2:00,-0.886176471,0.865,,
51,0.915,2/27/2016 3:00,-1.238333333,0.86,,
52,0.915,2/27/2016 4:00,-1.514230769,0.85,,
53,0.915,2/27/2016 5:00,-1.673571429,0.845,,
54,0.905,2/27/2016 6:00,-1.501,0.8375,,
55,0.905,2/27/2016 7:00,-1.143125,0.835,,
56,0.905,2/27/2016 8:00,-0.745,0.835,,
57,0.905,2/27/2016 9:00,-0.32,0.835,,
58,0.905,2/27/2016 10:00,0.015909091,0.835,,
59,0.885,2/27/2016 11:00,0.187,0.845,,
60,0.885,2/27/2016 12:00,0.005666667,0.845,,
61,0.885,2/27/2016 13:00,-0.390714286,0.845,,
62,0.885,2/27/2016 14:00,-0.767,0.845,,
63,0.885,2/27/2016 15:00,-1.094285714,0.845,,
64,0.885,2/27/2016 16:00,-1.399615385,0.835,,
65,0.885,2/27/2016 17:00,-1.6075,0.83,,
66,0.885,2/27/2016 18:00,-1.59875,0.825,,
67,0.885,2/27/2016 19:00,-1.328529412,0.815,,
68,0.875,2/27/2016 20:00,-0.910789474,0.81,,
69,0.875,2/27/2016 21:00,-0.487222222,0.805,,
70,0.875,2/27/2016 22:00,-0.151153846,0.805,,
71,0.875,2/27/2016 23:00,0.06,0.815,,
72,0.875,2/28/2016 0:00,0.008,0.815,,
73,0.875,2/28/2016 1:00,-0.299,0.825,,
74,0.875,2/28/2016 2:00,-0.635625,0.835,,
75,0.875,2/28/2016 3:00,-0.981875,0.835,,
76,0.875,2/28/2016 4:00,-1.288846154,0.825,,
77,0.865,2/28/2016 5:00,-1.508333333,0.825,,
78,0.865,2/28/2016 6:00,-1.476818182,0.815,,
79,0.865,2/28/2016 7:00,-1.171428571,0.815,,
80,0.855,2/28/2016 8:00,-0.762058824,0.805,,
81,0.855,2/28/2016 9:00,-0.322142857,0.8,,
82,0.855,2/28/2016 10:00,-0.009545455,0.805,,
83,0.855,2/28/2016 11:00,0.184230769,0.805,,
84,0.855,2/28/2016 12:00,0.19375,0.805,,
85,0.855,2/28/2016 13:00,-0.109705882,0.805,,
86,0.855,2/28/2016 14:00,-0.443461538,0.805,,
87,0.855,2/28/2016 15:00,-0.758333333,0.805,,
88,0.855,2/28/2016 16:00,-1.066428571,0.795,,
89,0.845,2/28/2016 17:00,-1.34,0.79,,
90,0.845,2/28/2016 18:00,-1.507,0.785,,
91,0.845,2/28/2016 19:00,-1.411153846,0.78,,
92,0.845,2/28/2016 20:00,-1.06375,0.795,,
93,0.845,2/28/2016 21:00,-0.68625,0.79,,
94,0.835,2/28/2016 22:00,-0.358076923,0.785,,
95,0.835,2/28/2016 23:00,-0.091363636,0.785,,
96,0.835,2/29/2016 0:00,0.110454545,0.795,,
97,0.835,2/29/2016 1:00,-0.045,0.795,,
98,0.835,2/29/2016 2:00,-0.340833333,0.795,,
99,0.835,2/29/2016 3:00,-0.661153846,0.795,,
100,0.835,2/29/2016 4:00,-0.995,0.795,,
101,0.835,2/29/2016 5:00,-1.295,0.795,,
102,0.835,2/29/2016 6:00,-1.477857143,0.785,,
103,0.835,2/29/2016 7:00,-1.4475,0.795,,
104,0.835,2/29/2016 8:00,-1.157941176,0.795,,
105,0.835,2/29/2016 9:00,-0.815,0.8,,
106,0.835,2/29/2016 10:00,-0.48875,0.808333333,,
107,0.835,2/29/2016 11:00,-0.199166667,0.81,,
108,0.835,2/29/2016 12:00,-0.065,0.795,,
109,0.835,2/29/2016 13:00,-0.21,0.795,,
110,0.835,2/29/2016 14:00,-0.511923077,0.795,,
111,0.835,2/29/2016 15:00,-0.814333333,0.79,,
112,0.835,2/29/2016 16:00,-1.116538462,0.785,,
113,0.835,2/29/2016 17:00,-1.409166667,0.785,,
114,0.825,2/29/2016 18:00,-1.615,0.785,,
115,0.825,2/29/2016 19:00,-1.717,0.785,,
116,0.825,2/29/2016 20:00,-1.525588235,0.78,,
117,0.825,2/29/2016 21:00,-1.16625,0.79,,
118,0.825,2/29/2016 22:00,-0.817352941,0.79,,
119,0.825,2/29/2016 23:00,-0.4625,0.79,,
120,0.825,3/1/2016 0:00,-0.186111111,0.795,,
121,0.825,3/1/2016 1:00,-0.08,0.785,,
122,0.825,3/1/2016 2:00,-0.248846154,0.78,,
123,0.825,3/1/2016 3:00,-0.549615385,0.785,,
124,0.825,3/1/2016 4:00,-0.834285714,0.785,,
125,0.825,3/1/2016 5:00,-1.095,0.78,,
126,0.825,3/1/2016 6:00,-1.305,0.775,,
127,0.815,3/1/2016 7:00,-1.403333333,0.78,,
128,0.815,3/1/2016 8:00,-1.259666667,0.78,,
129,0.815,3/1/2016 9:00,-0.955,0.785,,
130,0.815,3/1/2016 10:00,-0.63875,0.785,,
131,0.815,3/1/2016 11:00,-0.305,0.78,,
132,0.815,3/1/2016 12:00,-0.052,0.768333333,,
133,0.815,3/1/2016 13:00,0.022142857,0.765,,
134,0.815,3/1/2016 14:00,-0.161666667,0.77,,
135,0.815,3/1/2016 15:00,-0.469285714,0.77,,
136,0.815,3/1/2016 16:00,-0.779,0.765,,
137,0.815,3/1/2016 17:00,-1.082857143,0.755,,
138,0.815,3/1/2016 18:00,-1.349166667,0.748333333,,
139,0.815,3/1/2016 19:00,-1.54,0.761666667,,
140,0.815,3/1/2016 20:00,-1.601666667,0.76,,
141,0.815,3/1/2016 21:00,-1.389,0.765,,
142,0.815,3/1/2016 22:00,-1.047857143,0.765,,
143,0.815,3/1/2016 23:00,-0.737142857,0.76,,
144,0.815,3/2/2016 0:00,-0.425833333,0.76,,
145,0.815,3/2/2016 1:00,-0.189545455,0.765,,
146,0.815,3/2/2016 2:00,-0.079,0.755,,
147,0.815,3/2/2016 3:00,-0.261111111,0.75,,
148,0.805,3/2/2016 4:00,-0.566538462,0.755,,
149,0.805,3/2/2016 5:00,-0.85,0.755,,
150,0.795,3/2/2016 6:00,-1.128076923,0.745,,
151,0.795,3/2/2016 7:00,-1.356,0.755,,
152,0.795,3/2/2016 8:00,-1.4725,0.755,,
153,0.795,3/2/2016 9:00,-1.363333333,0.755,,
154,0.795,3/2/2016 10:00,-1.056428571,0.75,,
155,0.795,3/2/2016 11:00,-0.705,0.745,,
156,0.795,3/2/2016 12:00,-0.415909091,0.735,,
157,0.795,3/2/2016 13:00,-0.195,0.74,,
158,0.795,3/2/2016 14:00,-0.09,0.74,,
159,0.795,3/2/2016 15:00,-0.243181818,0.735,,
160,0.795,3/2/2016 16:00,-0.535,0.745,,
161,0.785,3/2/2016 17:00,-0.84,0.74,,
162,0.785,3/2/2016 18:00,-1.129285714,0.735,,
163,0.785,3/2/2016 19:00,-1.388333333,0.735,,
164,0.785,3/2/2016 20:00,-1.583888889,0.735,,
165,0.785,3/2/2016 21:00,-1.67,0.735,,
166,0.785,3/2/2016 22:00,-1.479,0.735,,
167,0.785,3/2/2016 23:00,-1.140333333,0.735,,
168,0.785,3/3/2016 0:00,-0.810625,0.73,,
169,0.785,3/3/2016 1:00,-0.463666667,0.73,,
170,0.785,3/3/2016 2:00,-0.181363636,0.72,,
171,0.785,3/3/2016 3:00,-0.042142857,0.725,,
172,0.775,3/3/2016 4:00,-0.184166667,0.725,,
173,0.765,3/3/2016 5:00,-0.449166667,0.725,,
174,0.765,3/3/2016 6:00,-0.734333333,0.725,,
175,0.755,3/3/2016 7:00,-1.025769231,0.73,,
176,0.755,3/3/2016 8:00,-1.265,0.735,,
177,0.755,3/3/2016 9:00,-1.4345,0.73,,
178,0.755,3/3/2016 10:00,-1.337777778,0.725,,
179,0.755,3/3/2016 11:00,-1.027,0.685,,
180,0.755,3/3/2016 12:00,-0.705,0.699285714,,
181,0.755,3/3/2016 13:00,-0.419615385,0.72,,
182,0.755,3/3/2016 14:00,-0.163333333,0.728333333,,
183,0.755,3/3/2016 15:00,-0.061,0.735,,
184,0.755,3/3/2016 16:00,-0.195833333,0.735,,
185,0.755,3/3/2016 17:00,-0.481,0.735,,
186,0.755,3/3/2016 18:00,-0.799,0.74,,
187,0.755,3/3/2016 19:00,-1.111,0.75,,
188,0.755,3/3/2016 20:00,-1.385,0.75,,
189,0.755,3/3/2016 21:00,-1.592,0.745,,
190,0.755,3/3/2016 22:00,-1.671,0.745,,
191,0.755,3/3/2016 23:00,-1.401842105,0.74,,
192,0.755,3/4/2016 0:00,-1.018333333,0.725,,
193,0.755,3/4/2016 1:00,-0.6875,0.73,,
194,0.755,3/4/2016 2:00,-0.334411765,0.735,,
195,0.755,3/4/2016 3:00,-0.057,0.735,,
196,0.755,3/4/2016 4:00,-0.023,0.735,,
197,0.755,3/4/2016 5:00,-0.211,0.725,,
198,0.755,3/4/2016 6:00,-0.433666667,0.72,,
199,0.755,3/4/2016 7:00,-0.785,0.725,,
200,0.755,3/4/2016 8:00,-1.13,0.725,,
201,0.755,3/4/2016 9:00,-1.384090909,0.725,,
202,0.755,3/4/2016 10:00,-1.509,0.725,,
203,0.755,3/4/2016 11:00,-1.340833333,0.725,,
204,0.755,3/4/2016 12:00,-1.064230769,0.725,,
205,0.755,3/4/2016 13:00,-0.721666667,0.73,,
206,0.755,3/4/2016 14:00,-0.379285714,0.735,,
207,0.755,3/4/2016 15:00,-0.105833333,0.735,,
208,0.755,3/4/2016 16:00,0.043333333,0.735,,
209,0.755,3/4/2016 17:00,-0.067142857,0.735,,
