date,year,month,day,hour,well,tide,hw
1/1/2014 0:00,2014,1,1,0,1.368,-0.857,-0.307
1/1/2014 1:00,2014,1,1,1,1.358,-1.3655,-0.457
1/1/2014 2:00,2014,1,1,2,1.358,-1.846166667,-0.418
1/1/2014 3:00,2014,1,1,3,1.348,-1.922,-0.4695
1/1/2014 4:00,2014,1,1,4,1.348,-1.636285714,-0.4495
1/1/2014 5:00,2014,1,1,5,1.348,-1.103666667,-0.343111111
1/1/2014 6:00,2014,1,1,6,1.348,-0.424307692,-0.128153846
1/1/2014 7:00,2014,1,1,7,1.338,0.285826087,0.134363636
1/1/2014 8:00,2014,1,1,8,1.328,0.837375,0.321333333
1/1/2014 9:00,2014,1,1,9,1.328,0.968,0.459428571
1/1/2014 10:00,2014,1,1,10,1.328,0.6215,0.558
1/1/2014 11:00,2014,1,1,11,1.328,0.154190476,0.407333333
1/1/2014 12:00,2014,1,1,12,1.318,-0.339368421,0.07425
1/1/2014 13:00,2014,1,1,13,1.318,-0.766375,-0.237333333
1/1/2014 14:00,2014,1,1,14,1.328,-1.2345,-0.466615385
1/1/2014 15:00,2014,1,1,15,1.328,-1.656166667,-0.412
1/1/2014 16:00,2014,1,1,16,1.318,-1.552,-0.402
1/1/2014 17:00,2014,1,1,17,1.318,-1.112,-0.32575
1/1/2014 18:00,2014,1,1,18,1.318,-0.528,-0.152833333
1/1/2014 19:00,2014,1,1,19,1.308,0.10175,0.083384615
1/1/2014 20:00,2014,1,1,20,1.308,0.626888889,0.298
1/1/2014 21:00,2014,1,1,21,1.308,0.841,0.44925
1/1/2014 22:00,2014,1,1,22,1.298,0.523238095,0.546
1/1/2014 23:00,2014,1,1,23,1.298,0.083416667,0.370352941
1/2/2014 0:00,2014,1,2,0,1.288,-0.415684211,0.033
1/2/2014 1:00,2014,1,2,1,1.288,-0.8495,-0.303875
1/2/2014 2:00,2014,1,2,2,1.288,-1.388818182,-0.483666667
1/2/2014 3:00,2014,1,2,3,1.288,-1.8445,-0.4545
1/2/2014 4:00,2014,1,2,4,1.268,-1.9145,-0.5095
1/2/2014 5:00,2014,1,2,5,1.268,-1.592555556,-0.4845
1/2/2014 6:00,2014,1,2,6,1.268,-1.0388,-0.37075
1/2/2014 7:00,2014,1,2,7,1.258,-0.3536,-0.143428571
1/2/2014 8:00,2014,1,2,8,1.258,0.335692308,0.106
1/2/2014 9:00,2014,1,2,9,1.248,0.860666667,0.286888889
1/2/2014 10:00,2014,1,2,10,1.238,0.991333333,0.423714286
1/2/2014 11:00,2014,1,2,11,1.238,0.594842105,0.521333333
1/2/2014 12:00,2014,1,2,12,1.238,0.091636364,0.371333333
1/2/2014 13:00,2014,1,2,13,1.228,-0.420888889,0.048
1/2/2014 14:00,2014,1,2,14,1.228,-0.856666667,-0.263875
1/2/2014 15:00,2014,1,2,15,1.228,-1.3335,-0.478428571
1/2/2014 16:00,2014,1,2,16,1.218,-1.715333333,-0.445333333
1/2/2014 17:00,2014,1,2,17,1.218,-1.5495,-0.432
1/2/2014 18:00,2014,1,2,18,1.208,-1.078956522,-0.3545
1/2/2014 19:00,2014,1,2,19,1.208,-0.472,-0.1745
1/2/2014 20:00,2014,1,2,20,1.198,0.130272727,0.082285714
1/2/2014 21:00,2014,1,2,21,1.198,0.620352941,0.264666667
1/2/2014 22:00,2014,1,2,22,1.198,0.727,0.40425
1/2/2014 23:00,2014,1,2,23,1.188,0.4025,0.493714286
1/3/2014 0:00,2014,1,3,0,1.188,-0.048363636,0.296666667
1/3/2014 1:00,2014,1,3,1,1.188,-0.525888889,-0.047625
1/3/2014 2:00,2014,1,3,2,1.188,-0.954222222,-0.359333333
1/3/2014 3:00,2014,1,3,3,1.178,-1.528111111,-0.474727273
1/3/2014 4:00,2014,1,3,4,1.168,-1.943666667,-0.490333333
1/3/2014 5:00,2014,1,3,5,1.168,-2.309419355,-0.257555556
1/3/2014 6:00,2014,1,3,6,1.168,-1.949142857,0.0355
1/3/2014 7:00,2014,1,3,7,1.158,-1.354916667,0.228
1/3/2014 8:00,2014,1,3,8,1.158,-0.629142857,0.278
1/3/2014 9:00,2014,1,3,9,1.158,0.049363636,0.31925
1/3/2014 10:00,2014,1,3,10,1.148,0.55,0.4205
1/3/2014 11:00,2014,1,3,11,1.148,0.606571429,0.51
1/3/2014 12:00,2014,1,3,12,1.148,0.236571429,0.444666667
1/3/2014 13:00,2014,1,3,13,1.148,-0.227,0.15675
1/3/2014 14:00,2014,1,3,14,1.148,-0.700333333,-0.173875
1/3/2014 15:00,2014,1,3,15,1.138,-1.198,-0.442625
1/3/2014 16:00,2014,1,3,16,1.128,-1.712,-0.44
1/3/2014 17:00,2014,1,3,17,1.128,-1.872,-0.502
1/3/2014 18:00,2014,1,3,18,1.128,-1.672,-0.508666667
1/3/2014 19:00,2014,1,3,19,1.128,-1.205181818,-0.437714286
1/3/2014 20:00,2014,1,3,20,1.118,-0.57575,-0.262769231
1/3/2014 21:00,2014,1,3,21,1.108,0.124785714,-0.002666667
1/3/2014 22:00,2014,1,3,22,1.108,0.640941176,0.203555556
1/3/2014 23:00,2014,1,3,23,1.108,0.830857143,0.336333333
1/4/2014 0:00,2014,1,4,0,1.108,0.480777778,0.43
1/4/2014 1:00,2014,1,4,1,1.108,0.014842105,0.290666667
1/4/2014 2:00,2014,1,4,2,1.098,-0.442,-0.020125
1/4/2014 3:00,2014,1,4,3,1.098,-0.871411765,-0.329142857
1/4/2014 4:00,2014,1,4,4,1.098,-1.388315789,-0.4845
1/4/2014 5:00,2014,1,4,5,1.098,-1.7595,-0.48
1/4/2014 6:00,2014,1,4,6,1.088,-1.658923077,-0.512
1/4/2014 7:00,2014,1,4,7,1.088,-1.253578947,-0.445333333
1/4/2014 8:00,2014,1,4,8,1.078,-0.668153846,-0.295333333
1/4/2014 9:00,2014,1,4,9,1.078,-0.019916667,-0.048153846
1/4/2014 10:00,2014,1,4,10,1.078,0.624363636,0.161
1/4/2014 11:00,2014,1,4,11,1.068,1.026571429,0.31425
1/4/2014 12:00,2014,1,4,12,1.068,0.824111111,0.412
1/4/2014 13:00,2014,1,4,13,1.068,0.337090909,0.462285714
1/4/2014 14:00,2014,1,4,14,1.068,-0.1425,0.223
1/4/2014 15:00,2014,1,4,15,1.068,-0.6005,-0.113764706
1/4/2014 16:00,2014,1,4,16,1.058,-0.993428571,-0.418666667
1/4/2014 17:00,2014,1,4,17,1.058,-1.686102564,-0.358666667
1/4/2014 18:00,2014,1,4,18,1.058,-1.889142857,0.011076923
1/4/2014 19:00,2014,1,4,19,1.058,-1.511,0.20675
1/4/2014 20:00,2014,1,4,20,1.058,-0.913153846,0.284666667
1/4/2014 21:00,2014,1,4,21,1.048,-0.3208,0.206
1/4/2014 22:00,2014,1,4,22,1.048,0.292347826,0.321
1/4/2014 23:00,2014,1,4,23,1.048,0.742285714,0.421333333
1/5/2014 0:00,2014,1,5,0,1.048,0.843,0.496
1/5/2014 1:00,2014,1,5,1,1.038,0.499764706,0.543
1/5/2014 2:00,2014,1,5,2,1.038,0.091913043,0.372736842
1/5/2014 3:00,2014,1,5,3,1.028,-0.391444444,0.024923077
1/5/2014 4:00,2014,1,5,4,1.028,-0.806375,-0.276666667
1/5/2014 5:00,2014,1,5,5,1.028,-1.220125,-0.468153846
1/5/2014 6:00,2014,1,5,6,1.028,-1.522,-0.4395
1/5/2014 7:00,2014,1,5,7,1.018,-1.295333333,-0.4195
1/5/2014 8:00,2014,1,5,8,1.018,-0.815913043,-0.31825
1/5/2014 9:00,2014,1,5,9,1.018,-0.1716,-0.098666667
1/5/2014 10:00,2014,1,5,10,1.008,0.483833333,0.117
1/5/2014 11:00,2014,1,5,11,1.008,1.080380952,0.265142857
1/5/2014 12:00,2014,1,5,12,1.008,1.370222222,0.369666667
1/5/2014 13:00,2014,1,5,13,1.008,1.082324324,0.449666667
1/5/2014 14:00,2014,1,5,14,0.998,0.577655172,0.506
1/5/2014 15:00,2014,1,5,15,1.008,0.08626087,0.332666667
1/5/2014 16:00,2014,1,5,16,1.018,-0.395,0.016
1/5/2014 17:00,2014,1,5,17,1.018,-0.786375,-0.2645
1/5/2014 18:00,2014,1,5,18,1.018,-1.212,-0.473333333
1/5/2014 19:00,2014,1,5,19,1.018,-1.326,-0.417
1/5/2014 20:00,2014,1,5,20,1.008,-0.986210526,-0.350571429
1/5/2014 21:00,2014,1,5,21,1.008,-0.4795,-0.202
1/5/2014 22:00,2014,1,5,22,1.008,0.10973913,0.018
1/5/2014 23:00,2014,1,5,23,1.008,0.6855,0.2105
1/6/2014 0:00,2014,1,6,0,1.008,1.063,0.335142857
1/6/2014 1:00,2014,1,6,1,1.008,1.008714286,0.418
1/6/2014 2:00,2014,1,6,2,0.988,0.6025,0.468
1/6/2014 3:00,2014,1,6,3,0.988,0.136095238,0.370142857
1/6/2014 4:00,2014,1,6,4,0.988,-0.303875,0.080857143
1/6/2014 5:00,2014,1,6,5,0.988,-0.691375,-0.205571429
1/6/2014 6:00,2014,1,6,6,0.988,-1.111411765,-0.462714286
1/6/2014 7:00,2014,1,6,7,0.988,-1.418,-0.428666667
1/6/2014 8:00,2014,1,6,8,0.988,-1.217294118,-0.3995
1/6/2014 9:00,2014,1,6,9,0.978,-0.773363636,-0.30575
1/6/2014 10:00,2014,1,6,10,0.978,-0.1912,-0.077
1/6/2014 11:00,2014,1,6,11,0.978,0.421181818,0.112
1/6/2014 12:00,2014,1,6,12,0.968,0.885857143,0.268
1/6/2014 13:00,2014,1,6,13,0.968,1.03925,0.368
1/6/2014 14:00,2014,1,6,14,0.968,0.747375,0.432
1/6/2014 15:00,2014,1,6,15,0.968,0.296333333,0.441333333
1/6/2014 16:00,2014,1,6,16,0.968,-0.148470588,0.215142857
1/6/2014 17:00,2014,1,6,17,1.028,-0.586210526,-0.102
1/6/2014 18:00,2014,1,6,18,1.048,-0.966,-0.392833333
1/6/2014 19:00,2014,1,6,19,1.048,-1.401444444,-0.4945
1/6/2014 20:00,2014,1,6,20,1.038,-1.477714286,-0.465333333
1/6/2014 21:00,2014,1,6,21,1.028,-1.234857143,-0.427
1/6/2014 22:00,2014,1,6,22,1.028,-0.824857143,-0.325333333
1/6/2014 23:00,2014,1,6,23,1.018,-0.318,-0.137833333
1/7/2014 0:00,2014,1,7,0,1.018,0.144,0.063
1/7/2014 1:00,2014,1,7,1,1.008,0.461076923,0.203714286
1/7/2014 2:00,2014,1,7,2,1.008,0.48675,0.308
1/7/2014 3:00,2014,1,7,3,0.998,0.19675,0.349428571
1/7/2014 4:00,2014,1,7,4,0.998,-0.246090909,0.2255
1/7/2014 5:00,2014,1,7,5,0.988,-0.696666667,0.079111111
1/7/2014 6:00,2014,1,7,6,0.988,-1.083176471,-0.073111111
1/7/2014 7:00,2014,1,7,7,0.988,-1.392,-0.207714286
1/7/2014 8:00,2014,1,7,8,0.978,-1.459142857,-0.327
1/7/2014 9:00,2014,1,7,9,0.978,-1.238153846,-0.357
1/7/2014 10:00,2014,1,7,10,0.968,-0.862555556,-0.302
1/7/2014 11:00,2014,1,7,11,0.968,-0.3805,-0.169
1/7/2014 12:00,2014,1,7,12,0.968,0.107473684,0.034923077
1/7/2014 13:00,2014,1,7,13,0.968,0.477166667,0.188
1/7/2014 14:00,2014,1,7,14,0.968,0.584923077,0.296571429
1/7/2014 15:00,2014,1,7,15,0.958,0.284315789,0.374666667
1/7/2014 16:00,2014,1,7,16,0.958,-0.1605,0.266
1/7/2014 17:00,2014,1,7,17,0.958,-0.645,0.093
1/7/2014 18:00,2014,1,7,18,0.958,-1.087882353,-0.073111111
1/7/2014 19:00,2014,1,7,19,0.948,-1.422909091,-0.243111111
1/7/2014 20:00,2014,1,7,20,0.948,-1.662,-0.3845
1/7/2014 21:00,2014,1,7,21,0.948,-1.609777778,-0.4695
1/7/2014 22:00,2014,1,7,22,0.948,-1.328666667,-0.462
1/7/2014 23:00,2014,1,7,23,0.948,-0.890333333,-0.3795
1/8/2014 0:00,2014,1,8,0,0.938,-0.423578947,-0.217454545
1/8/2014 1:00,2014,1,8,1,0.938,0.027473684,-0.016
1/8/2014 2:00,2014,1,8,2,0.938,0.369428571,0.155777778
1/8/2014 3:00,2014,1,8,3,0.938,0.481333333,0.268
1/8/2014 4:00,2014,1,8,4,0.938,0.225857143,0.344
1/8/2014 5:00,2014,1,8,5,0.938,-0.149647059,0.288
1/8/2014 6:00,2014,1,8,6,0.938,-0.572588235,0.12
1/8/2014 7:00,2014,1,8,7,0.928,-0.935571429,-0.040888889
1/8/2014 8:00,2014,1,8,8,0.928,-1.223,-0.1845
1/8/2014 9:00,2014,1,8,9,0.928,-1.227714286,-0.2795
1/8/2014 10:00,2014,1,8,10,0.928,-0.966,-0.292
1/8/2014 11:00,2014,1,8,11,0.928,-0.565333333,-0.20575
1/8/2014 12:00,2014,1,8,12,0.938,-0.136117647,-0.032
1/8/2014 13:00,2014,1,8,13,0.928,0.3,0.1505
1/8/2014 14:00,2014,1,8,14,0.928,0.573454545,0.2555
1/8/2014 15:00,2014,1,8,15,0.928,0.630666667,0.338
1/8/2014 16:00,2014,1,8,16,0.938,0.415692308,0.398
1/8/2014 17:00,2014,1,8,17,0.948,0.065368421,0.36675
1/8/2014 18:00,2014,1,8,18,0.938,-0.3345,0.220222222
1/8/2014 19:00,2014,1,8,19,0.938,-0.726117647,0.06425
1/8/2014 20:00,2014,1,8,20,0.938,-1.055076923,-0.084222222
1/8/2014 21:00,2014,1,8,21,0.938,-1.245333333,-0.216285714
1/8/2014 22:00,2014,1,8,22,0.928,-1.161,-0.282
1/8/2014 23:00,2014,1,8,23,0.938,-0.838315789,-0.2495
