date,year,month,day,hour,well,tide,date_hw,hw
1/1/2015 0:00,2015,1,1,0,0.274,-1.496,1/1/2015 0:00,0.178
1/1/2015 1:00,2015,1,1,1,0.274,-1.692666667,1/1/2015 1:00,0.178
1/1/2015 2:00,2015,1,1,2,0.274,-1.558666667,1/1/2015 2:00,0.168
1/1/2015 3:00,2015,1,1,3,0.264,-1.216,1/1/2015 3:00,0.168
1/1/2015 4:00,2015,1,1,4,0.264,-0.790736842,1/1/2015 4:00,0.168
1/1/2015 5:00,2015,1,1,5,0.264,-0.344421053,1/1/2015 5:00,0.163
1/1/2015 6:00,2015,1,1,6,0.264,0.031857143,1/1/2015 6:00,0.163
1/1/2015 7:00,2015,1,1,7,0.264,0.211142857,1/1/2015 7:00,0.158
1/1/2015 8:00,2015,1,1,8,0.264,0.024,1/1/2015 8:00,0.158
1/1/2015 9:00,2015,1,1,9,0.264,-0.3,1/1/2015 9:00,0.158
1/1/2015 10:00,2015,1,1,10,0.264,-0.617428571,1/1/2015 10:00,0.158
1/1/2015 11:00,2015,1,1,11,0.264,-0.888727273,1/1/2015 11:00,0.151333333
1/1/2015 12:00,2015,1,1,12,0.254,-1.135166667,1/1/2015 12:00,0.148
1/1/2015 13:00,2015,1,1,13,0.254,-1.300285714,1/1/2015 13:00,0.143
1/1/2015 14:00,2015,1,1,14,0.254,-1.2885,1/1/2015 14:00,0.138
1/1/2015 15:00,2015,1,1,15,0.254,-1.053857143,1/1/2015 15:00,0.138
1/1/2015 16:00,2015,1,1,16,0.244,-0.693222222,1/1/2015 16:00,0.138
1/1/2015 17:00,2015,1,1,17,0.234,-0.31475,1/1/2015 17:00,0.138
1/1/2015 18:00,2015,1,1,18,0.234,0.016307692,1/1/2015 18:00,0.138
1/1/2015 19:00,2015,1,1,19,0.234,0.221142857,1/1/2015 19:00,0.138
1/1/2015 20:00,2015,1,1,20,0.234,0.056,1/1/2015 20:00,0.138
1/1/2015 21:00,2015,1,1,21,0.234,-0.288666667,1/1/2015 21:00,0.143
1/1/2015 22:00,2015,1,1,22,0.234,-0.597111111,1/1/2015 22:00,0.143
1/1/2015 23:00,2015,1,1,23,0.234,-0.962153846,1/1/2015 23:00,0.148
1/2/2015 0:00,2015,1,2,0,0.224,-1.229846154,1/2/2015 0:00,0.138
1/2/2015 1:00,2015,1,2,1,0.224,-1.442363636,1/2/2015 1:00,0.138
1/2/2015 2:00,2015,1,2,2,0.224,-1.524181818,1/2/2015 2:00,0.134666667
1/2/2015 3:00,2015,1,2,3,0.224,-1.464333333,1/2/2015 3:00,0.133
1/2/2015 4:00,2015,1,2,4,0.224,-1.081,1/2/2015 4:00,0.128
1/2/2015 5:00,2015,1,2,5,0.214,-0.658105263,1/2/2015 5:00,0.128
1/2/2015 6:00,2015,1,2,6,0.214,-0.219,1/2/2015 6:00,0.123
1/2/2015 7:00,2015,1,2,7,0.214,0.151692308,1/2/2015 7:00,0.118
1/2/2015 8:00,2015,1,2,8,0.214,0.325666667,1/2/2015 8:00,0.118
1/2/2015 9:00,2015,1,2,9,0.214,0.125176471,1/2/2015 9:00,0.118
1/2/2015 10:00,2015,1,2,10,0.214,-0.220615385,1/2/2015 10:00,0.118
1/2/2015 11:00,2015,1,2,11,0.214,-0.522923077,1/2/2015 11:00,0.118
1/2/2015 12:00,2015,1,2,12,0.214,-0.794333333,1/2/2015 12:00,0.118
1/2/2015 13:00,2015,1,2,13,0.204,-1.061384615,1/2/2015 13:00,0.101333333
1/2/2015 14:00,2015,1,2,14,0.194,-1.262666667,1/2/2015 14:00,0.108
1/2/2015 15:00,2015,1,2,15,0.194,-1.26975,1/2/2015 15:00,0.108
1/2/2015 16:00,2015,1,2,16,0.194,-1.056769231,1/2/2015 16:00,0.108
1/2/2015 17:00,2015,1,2,17,0.184,-0.702666667,1/2/2015 17:00,0.108
1/2/2015 18:00,2015,1,2,18,0.174,-0.29725,1/2/2015 18:00,0.108
1/2/2015 19:00,2015,1,2,19,0.174,0.034769231,1/2/2015 19:00,0.108
1/2/2015 20:00,2015,1,2,20,0.174,0.228285714,1/2/2015 20:00,0.108
1/2/2015 21:00,2015,1,2,21,0.174,0.064,1/2/2015 21:00,0.108
1/2/2015 22:00,2015,1,2,22,0.174,-0.225166667,1/2/2015 22:00,0.108
