date,year,month,day,hour,well,tide
1/1/2017 0:00,2017,1,1,0,0.581,-0.059
1/1/2017 1:00,2017,1,1,1,0.581,-0.558
1/1/2017 2:00,2017,1,1,2,0.581,-1.001
1/1/2017 3:00,2017,1,1,3,0.581,-1.417
1/1/2017 4:00,2017,1,1,4,0.581,-1.699
1/1/2017 5:00,2017,1,1,5,0.581,-1.752
1/1/2017 6:00,2017,1,1,6,0.581,-1.493
1/1/2017 7:00,2017,1,1,7,0.581,-0.994
1/1/2017 8:00,2017,1,1,8,0.581,-0.518
1/1/2017 9:00,2017,1,1,9,0.571,-0.016
1/1/2017 10:00,2017,1,1,10,0.571,0.436
1/1/2017 11:00,2017,1,1,11,0.571,0.656
1/1/2017 12:00,2017,1,1,12,0.571,0.466
1/1/2017 13:00,2017,1,1,13,0.571,-0.079
1/1/2017 14:00,2017,1,1,14,0.571,-0.538
1/1/2017 15:00,2017,1,1,15,0.571,-0.919
1/1/2017 16:00,2017,1,1,16,0.571,-1.273
1/1/2017 17:00,2017,1,1,17,0.571,-1.421
1/1/2017 18:00,2017,1,1,18,0.571,-1.276
1/1/2017 19:00,2017,1,1,19,0.571,-0.942
1/1/2017 20:00,2017,1,1,20,0.581,-0.492
1/1/2017 21:00,2017,1,1,21,0.581,-0.085
1/1/2017 22:00,2017,1,1,22,0.581,0.308
1/1/2017 23:00,2017,1,1,23,0.581,0.499
1/2/2017 0:00,2017,1,2,0,0.581,0.397
1/2/2017 1:00,2017,1,2,1,0.581,-0.075
1/2/2017 2:00,2017,1,2,2,0.581,-0.548
1/2/2017 3:00,2017,1,2,3,0.581,-0.981
1/2/2017 4:00,2017,1,2,4,0.581,-1.378
1/2/2017 5:00,2017,1,2,5,0.581,-1.627
1/2/2017 6:00,2017,1,2,6,0.581,-1.585
1/2/2017 7:00,2017,1,2,7,0.581,-1.339
1/2/2017 8:00,2017,1,2,8,0.581,-0.86
1/2/2017 9:00,2017,1,2,9,0.581,-0.397
1/2/2017 10:00,2017,1,2,10,0.581,-0.036
1/2/2017 11:00,2017,1,2,11,0.581,0.318
1/2/2017 12:00,2017,1,2,12,0.581,0.4
1/2/2017 13:00,2017,1,2,13,0.581,0.033
1/2/2017 14:00,2017,1,2,14,0.581,-0.499
1/2/2017 15:00,2017,1,2,15,0.581,-0.915
1/2/2017 16:00,2017,1,2,16,0.581,-1.335
1/2/2017 17:00,2017,1,2,17,0.581,-1.637
1/2/2017 18:00,2017,1,2,18,0.581,-1.716
1/2/2017 19:00,2017,1,2,19,0.581,-1.568
1/2/2017 20:00,2017,1,2,20,0.581,-1.152
1/2/2017 21:00,2017,1,2,21,0.581,-0.741
1/2/2017 22:00,2017,1,2,22,0.581,-0.354
1/2/2017 23:00,2017,1,2,23,0.581,0.013
1/3/2017 0:00,2017,1,3,0,0.581,0.171
1/3/2017 1:00,2017,1,3,1,0.581,0.02
1/3/2017 2:00,2017,1,3,2,0.581,-0.341
1/3/2017 3:00,2017,1,3,3,0.581,-0.81
1/3/2017 4:00,2017,1,3,4,0.581,-1.24
1/3/2017 5:00,2017,1,3,5,0.581,-1.578
1/3/2017 6:00,2017,1,3,6,0.581,-1.749
