Year,Month,yday,date,Tide range (m)
2007,1,1,1/1/2007,0.73
2007,1,2,1/2/2007,0.733
2007,1,3,1/3/2007,0.792
2007,1,4,1/4/2007,0.774
2007,1,5,1/5/2007,0.691
2007,1,6,1/6/2007,0.684
2007,1,7,1/7/2007,0.613
2007,1,8,1/8/2007,0.572
2007,1,9,1/9/2007,0.552
2007,1,10,1/10/2007,0.515
2007,1,11,1/11/2007,0.464
2007,1,12,1/12/2007,0.458
2007,1,13,1/13/2007,0.49
2007,1,14,1/14/2007,0.58
2007,1,15,1/15/2007,0.558
2007,1,16,1/16/2007,0.575
2007,1,17,1/17/2007,0.682
2007,1,18,1/18/2007,0.718
2007,1,19,1/19/2007,0.755
2007,1,20,1/20/2007,0.854
2007,1,21,1/21/2007,0.795
2007,1,22,1/22/2007,0.779
2007,1,23,1/23/2007,0.763
2007,1,24,1/24/2007,0.748
2007,1,25,1/25/2007,0.731
2007,1,26,1/26/2007,0.638
2007,1,27,1/27/2007,0.592
2007,1,28,1/28/2007,0.747
2007,1,29,1/29/2007,0.61
2007,1,30,1/30/2007,0.673
2007,1,31,1/31/2007,0.729
2007,2,1,2/1/2007,0.725
2007,2,2,2/2/2007,0.69
2007,2,3,2/3/2007,0.679
2007,2,4,2/4/2007,0.667
2007,2,5,2/5/2007,0.607
2007,2,6,2/6/2007,0.567
2007,2,7,2/7/2007,0.572
2007,2,8,2/8/2007,0.551
2007,2,9,2/9/2007,0.46
2007,2,10,2/10/2007,0.49
2007,2,11,2/11/2007,0.438
2007,2,12,2/12/2007,0.436
2007,2,13,2/13/2007,0.535
2007,2,14,2/14/2007,0.576
2007,2,15,2/15/2007,0.647
2007,2,16,2/16/2007,0.744
2007,2,17,2/17/2007,0.884
2007,2,18,2/18/2007,0.865
2007,2,19,2/19/2007,0.84
2007,2,20,2/20/2007,0.799
2007,2,21,2/21/2007,0.784
2007,2,22,2/22/2007,0.764
2007,2,23,2/23/2007,0.7
2007,2,24,2/24/2007,0.594
2007,2,25,2/25/2007,0.626
2007,2,26,2/26/2007,0.573
2007,2,27,2/27/2007,0.547
2007,2,28,2/28/2007,0.639
2007,3,1,3/1/2007,0.659
2007,3,2,3/2/2007,0.635
2007,3,3,3/3/2007,0.649
2007,3,4,3/4/2007,0.663
2007,3,5,3/5/2007,0.693
2007,3,6,3/6/2007,0.728
2007,3,7,3/7/2007,0.639
2007,3,8,3/8/2007,0.593
2007,3,9,3/9/2007,0.586
2007,3,10,3/10/2007,0.543
2007,3,11,3/11/2007,0.512
2007,3,12,3/12/2007,0.445
2007,3,13,3/13/2007,0.417
2007,3,14,3/14/2007,0.567
2007,3,15,3/15/2007,0.556
2007,3,16,3/16/2007,0.66
2007,3,17,3/17/2007,0.787
2007,3,18,3/18/2007,0.819
2007,3,19,3/19/2007,0.881
2007,3,20,3/20/2007,0.874
2007,3,21,3/21/2007,0.841
2007,3,22,3/22/2007,0.747
2007,3,23,3/23/2007,0.81
2007,3,24,3/24/2007,0.642
2007,3,25,3/25/2007,0.576
2007,3,26,3/26/2007,0.562
2007,3,27,3/27/2007,0.543
2007,3,28,3/28/2007,0.492
2007,3,29,3/29/2007,0.573
2007,3,30,3/30/2007,0.572
2007,3,31,3/31/2007,0.613
2007,4,1,4/1/2007,0.648
2007,4,2,4/2/2007,0.663
2007,4,3,4/3/2007,0.673
2007,4,4,4/4/2007,0.671
2007,4,5,4/5/2007,0.626
2007,4,6,4/6/2007,0.582
2007,4,7,4/7/2007,0.561
2007,4,8,4/8/2007,0.515
2007,4,9,4/9/2007,0.505
2007,4,10,4/10/2007,0.483
2007,4,11,4/11/2007,0.532
2007,4,12,4/12/2007,0.568
2007,4,13,4/13/2007,0.586
2007,4,14,4/14/2007,0.724
2007,4,15,4/15/2007,0.724
2007,4,16,4/16/2007,0.921
2007,4,17,4/17/2007,0.938
2007,4,18,4/18/2007,0.916
2007,4,19,4/19/2007,0.899
2007,4,20,4/20/2007,0.797
2007,4,21,4/21/2007,0.801
2007,4,22,4/22/2007,0.667
2007,4,23,4/23/2007,0.591
2007,4,24,4/24/2007,0.538
2007,4,25,4/25/2007,0.512
2007,4,26,4/26/2007,0.53
2007,4,27,4/27/2007,0.542
2007,4,28,4/28/2007,0.596
2007,4,29,4/29/2007,0.604
2007,4,30,4/30/2007,0.674
2007,5,1,5/1/2007,0.669
2007,5,2,5/2/2007,0.683
2007,5,3,5/3/2007,0.699
2007,5,4,5/4/2007,0.657
2007,5,5,5/5/2007,0.617
2007,5,6,5/6/2007,0.579
2007,5,7,5/7/2007,0.528
2007,5,8,5/8/2007,0.515
2007,5,9,5/9/2007,0.56
2007,5,10,5/10/2007,0.571
2007,5,11,5/11/2007,0.627
2007,5,12,5/12/2007,0.703
2007,5,13,5/13/2007,0.791
2007,5,14,5/14/2007,0.807
2007,5,15,5/15/2007,0.916
2007,5,16,5/16/2007,0.947
2007,5,17,5/17/2007,0.916
2007,5,18,5/18/2007,0.871
2007,5,19,5/19/2007,0.804
2007,5,20,5/20/2007,0.728
2007,5,21,5/21/2007,0.649
2007,5,22,5/22/2007,0.584
2007,5,23,5/23/2007,0.543
2007,5,24,5/24/2007,0.536
2007,5,25,5/25/2007,0.514
2007,5,26,5/26/2007,0.528
2007,5,27,5/27/2007,0.549
2007,5,28,5/28/2007,0.603
2007,5,29,5/29/2007,0.644
2007,5,30,5/30/2007,0.624
2007,5,31,5/31/2007,0.649
2007,6,1,6/1/2007,0.725
2007,6,2,6/2/2007,0.663
2007,6,3,6/3/2007,0.641
2007,6,4,6/4/2007,0.611
2007,6,5,6/5/2007,0.624
2007,6,6,6/6/2007,0.635
2007,6,7,6/7/2007,0.575
2007,6,8,6/8/2007,0.606
2007,6,9,6/9/2007,0.647
2007,6,10,6/10/2007,0.713
2007,6,11,6/11/2007,0.814
2007,6,12,6/12/2007,0.836
2007,6,13,6/13/2007,0.85
2007,6,14,6/14/2007,0.854
2007,6,15,6/15/2007,0.881
2007,6,16,6/16/2007,0.835
2007,6,17,6/17/2007,0.803
2007,6,18,6/18/2007,0.719
2007,6,19,6/19/2007,0.654
2007,6,20,6/20/2007,0.588
2007,6,21,6/21/2007,0.548
2007,6,22,6/22/2007,0.547
2007,6,23,6/23/2007,0.498
2007,6,24,6/24/2007,0.523
2007,6,25,6/25/2007,0.55
2007,6,26,6/26/2007,0.563
2007,6,27,6/27/2007,0.608
2007,6,28,6/28/2007,0.622
2007,6,29,6/29/2007,0.635
2007,6,30,6/30/2007,0.674
2007,7,1,7/1/2007,0.719
2007,7,2,7/2/2007,0.722
2007,7,3,7/3/2007,0.738
2007,7,4,7/4/2007,0.66
2007,7,5,7/5/2007,0.681
2007,7,6,7/6/2007,0.661
2007,7,7,7/7/2007,0.675
2007,7,8,7/8/2007,0.648
2007,7,9,7/9/2007,0.668
2007,7,10,7/10/2007,0.661
2007,7,11,7/11/2007,0.725
2007,7,12,7/12/2007,0.733
2007,7,13,7/13/2007,0.769
2007,7,14,7/14/2007,0.777
2007,7,15,7/15/2007,0.696
2007,7,16,7/16/2007,0.719
2007,7,17,7/17/2007,0.662
2007,7,18,7/18/2007,0.633
2007,7,19,7/19/2007,0.598
2007,7,20,7/20/2007,0.54
2007,7,21,7/21/2007,0.503
2007,7,22,7/22/2007,0.491
2007,7,23,7/23/2007,0.487
2007,7,24,7/24/2007,0.514
2007,7,25,7/25/2007,0.523
2007,7,26,7/26/2007,0.568
2007,7,27,7/27/2007,0.633
2007,7,28,7/28/2007,0.646
2007,7,29,7/29/2007,0.707
2007,7,30,7/30/2007,0.746
2007,7,31,7/31/2007,0.744
2007,8,1,8/1/2007,0.746
2007,8,2,8/2/2007,0.706
2007,8,3,8/3/2007,0.723
2007,8,4,8/4/2007,0.695
2007,8,5,8/5/2007,0.696
2007,8,6,8/6/2007,0.661
2007,8,7,8/7/2007,0.621
2007,8,8,8/8/2007,0.685
2007,8,9,8/9/2007,0.658
2007,8,10,8/10/2007,0.701
2007,8,11,8/11/2007,0.71
2007,8,12,8/12/2007,0.727
2007,8,13,8/13/2007,0.702
