date,year,month,day,hour,well,tide,hw
1/1/2017 0:00,2017,1,1,0,0.928,-0.024608696,1.078
1/1/2017 1:00,2017,1,1,1,0.928,-0.438206897,1.03
1/1/2017 2:00,2017,1,1,2,0.928,-0.8691875,0.978
1/1/2017 3:00,2017,1,1,3,0.928,-1.306444444,1.156888889
1/1/2017 4:00,2017,1,1,4,0.928,-1.5395,1.254
1/1/2017 5:00,2017,1,1,5,0.918,-1.65825,1.2555
1/1/2017 6:00,2017,1,1,6,0.918,-1.362,1.274666667
1/1/2017 7:00,2017,1,1,7,0.918,-0.856285714,1.293
1/1/2017 8:00,2017,1,1,8,0.918,-0.376285714,1.298
1/1/2017 9:00,2017,1,1,9,0.918,0.145727273,1.313
1/1/2017 10:00,2017,1,1,10,0.908,0.573625,1.318
1/1/2017 11:00,2017,1,1,11,0.908,0.744666667,1.3205
1/1/2017 12:00,2017,1,1,12,0.918,0.514842105,1.3205
1/1/2017 13:00,2017,1,1,13,0.908,0.057,1.313
1/1/2017 14:00,2017,1,1,14,0.908,-0.399619048,1.332
1/1/2017 15:00,2017,1,1,15,0.908,-0.772434783,1.334666667
1/1/2017 16:00,2017,1,1,16,0.908,-1.136615385,1.328
1/1/2017 17:00,2017,1,1,17,0.908,-1.314,1.351333333
1/1/2017 18:00,2017,1,1,18,0.908,-1.163071429,1.162
1/1/2017 19:00,2017,1,1,19,0.908,-0.779317073,1.08
1/1/2017 20:00,2017,1,1,20,0.908,-0.336482759,1.108
1/1/2017 21:00,2017,1,1,21,0.908,0.092761905,1.1255
1/1/2017 22:00,2017,1,1,22,0.908,0.468833333,1.168
1/1/2017 23:00,2017,1,1,23,0.908,0.660857143,1.183
1/2/2017 0:00,2017,1,2,0,0.908,0.468625,1.158
1/2/2017 1:00,2017,1,2,1,0.908,0.028952381,1.114
1/2/2017 2:00,2017,1,2,2,0.908,-0.364692308,1.056
1/2/2017 3:00,2017,1,2,3,0.908,-0.853875,0.9955
1/2/2017 4:00,2017,1,2,4,0.908,-1.221230769,1.094363636
1/2/2017 5:00,2017,1,2,5,0.908,-1.392909091,1.218769231
1/2/2017 6:00,2017,1,2,6,0.898,-1.450235294,1.26
1/2/2017 7:00,2017,1,2,7,0.898,-1.156444444,1.278
