date,year,month,day,hour,well,tide
1/1/2019 0:00,2019,1,1,0,0.301,-1.742
1/1/2019 1:00,2019,1,1,1,0.2935,-1.358
1/1/2019 2:00,2019,1,1,2,0.291,-0.866
1/1/2019 3:00,2019,1,1,3,0.291,-0.433
1/1/2019 4:00,2019,1,1,4,0.291,-0.056
1/1/2019 5:00,2019,1,1,5,0.291,0.194
1/1/2019 6:00,2019,1,1,6,0.291,0.194
1/1/2019 7:00,2019,1,1,7,0.291,-0.148
1/1/2019 8:00,2019,1,1,8,0.291,-0.63
1/1/2019 9:00,2019,1,1,9,0.291,-0.978
1/1/2019 10:00,2019,1,1,10,0.291,-1.348
1/1/2019 11:00,2019,1,1,11,0.291,-1.581
1/1/2019 12:00,2019,1,1,12,0.291,-1.588
1/1/2019 13:00,2019,1,1,13,0.291,-1.378
1/1/2019 14:00,2019,1,1,14,0.291,-0.991
1/1/2019 15:00,2019,1,1,15,0.286,-0.63
1/1/2019 16:00,2019,1,1,16,0.281,-0.282
1/1/2019 17:00,2019,1,1,17,0.281,-0.016
1/1/2019 18:00,2019,1,1,18,0.281,0.043
1/1/2019 19:00,2019,1,1,19,0.281,-0.285
1/1/2019 20:00,2019,1,1,20,0.281,-0.774
1/1/2019 21:00,2019,1,1,21,0.281,-1.227
1/1/2019 22:00,2019,1,1,22,0.281,-1.637
1/1/2019 23:00,2019,1,1,23,0.281,-1.946
1/2/2019 0:00,2019,1,2,0,0.281,-2.057
1/2/2019 1:00,2019,1,2,1,0.281,-1.886
1/2/2019 2:00,2019,1,2,2,0.281,-1.496
1/2/2019 3:00,2019,1,2,3,0.281,-0.978
1/2/2019 4:00,2019,1,2,4,0.281,-0.515
1/2/2019 5:00,2019,1,2,5,0.281,-0.105
1/2/2019 6:00,2019,1,2,6,0.281,0.144
1/2/2019 7:00,2019,1,2,7,0.281,0.157
1/2/2019 8:00,2019,1,2,8,0.281,-0.184
1/2/2019 9:00,2019,1,2,9,0.281,-0.636
1/2/2019 10:00,2019,1,2,10,0.281,-1.063
1/2/2019 11:00,2019,1,2,11,0.2735,-1.44
1/2/2019 12:00,2019,1,2,12,0.271,-1.634
1/2/2019 13:00,2019,1,2,13,0.271,-1.598
1/2/2019 14:00,2019,1,2,14,0.271,-1.325
1/2/2019 15:00,2019,1,2,15,0.271,-0.909
1/2/2019 16:00,2019,1,2,16,0.271,-0.512
1/2/2019 17:00,2019,1,2,17,0.271,-0.161
1/2/2019 18:00,2019,1,2,18,0.271,0.092
1/2/2019 19:00,2019,1,2,19,0.266,0.102
1/2/2019 20:00,2019,1,2,20,0.2635,-0.289
1/2/2019 21:00,2019,1,2,21,0.271,-0.764
1/2/2019 22:00,2019,1,2,22,0.271,-1.224
1/2/2019 23:00,2019,1,2,23,0.271,-1.611
1/3/2019 0:00,2019,1,3,0,0.271,-1.854
1/3/2019 1:00,2019,1,3,1,0.271,-1.952
1/3/2019 2:00,2019,1,3,2,0.271,-1.834
1/3/2019 3:00,2019,1,3,3,0.261,-1.411
1/3/2019 4:00,2019,1,3,4,0.261,-0.856
1/3/2019 5:00,2019,1,3,5,0.261,-0.42
1/3/2019 6:00,2019,1,3,6,0.261,-0.046
1/3/2019 7:00,2019,1,3,7,0.261,0.187
1/3/2019 8:00,2019,1,3,8,0.261,0.105
1/3/2019 9:00,2019,1,3,9,0.261,-0.318
1/3/2019 10:00,2019,1,3,10,0.261,-0.817
1/3/2019 11:00,2019,1,3,11,0.261,-1.158
